,날짜,강도,살인,강간,절도,폭행
0,Jan-00,438,86,532,10631,28567
1,Feb-00,473,61,405,10400,23615
2,Mar-00,538,76,545,11851,30520
3,Apr-00,405,52,532,10491,25273
4,May-00,405,93,541,12459,29333
5,Jun-00,398,82,709,14355,31322
6,Jul-00,443,101,700,16657,31631
7,Aug-00,457,104,756,17358,32525
8,Sep-00,443,90,600,15816,30979
9,Oct-00,485,82,621,15198,30299
10,Nov-00,386,71,525,14585,28625
11,Dec-00,478,66,516,15460,29412
12,01-Jan,425,74,447,12272,28222
13,01-Feb,538,90,447,12947,26579
14,01-Mar,582,101,490,15310,29127
15,01-Apr,545,81,486,14318,27784
16,01-May,442,98,594,15686,31771
17,01-Jun,439,90,638,14257,31188
18,01-Jul,420,117,695,15159,31954
19,01-Aug,443,97,711,15055,32291
20,01-Sep,504,95,702,14478,31475
21,01-Oct,432,74,624,14054,30221
22,01-Nov,381,77,549,13021,27554
23,01-Dec,395,70,528,12564,26491
24,02-Jan,428,80,707,13131,23851
25,02-Feb,422,55,560,12635,18055
26,02-Mar,531,71,686,15606,21107
27,02-Apr,468,88,781,15751,23128
28,02-May,617,89,874,17239,24711
29,02-Jun,498,67,745,11825,21505
30,02-Jul,502,98,955,14142,24022
31,02-Aug,495,97,926,14588,22915
32,02-Sep,537,93,866,17574,23534
33,02-Oct,596,90,901,16716,25079
34,02-Nov,466,72,685,16019,21061
35,02-Dec,393,83,749,13982,21250
36,03-Jan,443,65,680,10765,20675
37,03-Feb,498,69,607,12673,19328
38,03-Mar,611,89,802,16179,22687
39,03-Apr,541,92,831,16595,22716
40,03-May,568,90,988,18161,23956
41,03-Jun,492,79,989,15090,24329
42,03-Jul,801,101,1076,18253,26505
43,03-Aug,771,82,943,18141,24447
44,03-Sep,1217,94,925,21370,25730
45,03-Oct,454,97,972,14239,25794
46,03-Nov,446,70,833,12864,22095
47,03-Dec,485,83,719,13541,21470
48,04-Jan,311,74,668,7392,21361
49,04-Feb,397,76,702,10070,19258
50,04-Mar,856,78,957,16397,23523
51,04-Apr,687,98,956,14478,20905
52,04-May,895,92,1135,15302,23507
53,04-Jun,435,95,1020,12894,24565
54,04-Jul,444,126,1132,13260,24723
55,04-Aug,391,108,1019,13822,23044
56,04-Sep,406,107,944,12183,21890
57,04-Oct,324,88,900,12975,23469
58,04-Nov,318,79,876,13607,22560
59,04-Dec,298,61,796,12470,21839
60,05-Jan,360,78,909,12691,25023
61,05-Feb,323,72,618,9733,16485
62,05-Mar,557,93,853,14655,21224
63,05-Apr,535,93,847,14472,21039
64,05-May,512,88,1015,16095,22998
65,05-Jun,558,113,1045,17441,23725
66,05-Jul,410,108,1102,17261,23980
67,05-Aug,429,103,1185,18116,24693
68,05-Sep,473,106,1139,17539,25026
69,05-Oct,481,105,1106,20412,24665
70,05-Nov,302,66,1046,16007,23411
71,05-Dec,326,66,892,16692,22042
72,06-Jan,352,74,806,13567,20946
73,06-Feb,319,69,769,12544,18860
74,06-Mar,380,82,1029,14060,20147
75,06-Apr,457,81,1071,15412,18717
76,06-May,724,105,1317,18794,21189
77,06-Jun,381,96,1172,16696,20447
78,06-Jul,344,110,1248,13819,20470
79,06-Aug,306,114,1195,13835,19956
80,06-Sep,357,85,1311,15978,21532
81,06-Oct,321,92,1291,17762,22019
82,06-Nov,383,78,1381,19936,21528
83,06-Dec,360,78,983,18342,18627
84,07-Jan,326,96,1011,16277,4962
85,07-Feb,362,83,914,16056,16224
86,07-Mar,377,104,1034,16310,18949
87,07-Apr,426,89,1093,17759,20057
88,07-May,503,96,1330,20917,21597
89,07-Jun,423,91,1197,21130,21630
90,07-Jul,311,103,1315,16019,23590
91,07-Aug,351,98,1327,15714,22680
92,07-Sep,401,104,1081,16380,18944
93,07-Oct,442,108,1298,21152,23907
94,07-Nov,261,82,1082,17763,21365
95,07-Dec,287,70,952,17053,18987
96,08-Jan,263,66,850,12913,19045
97,08-Feb,233,50,737,12047,14794
98,08-Mar,436,69,930,16056,18069
99,08-Apr,518,105,1216,20527,19982
100,08-May,420,116,1326,19201,21110
101,08-Jun,395,92,1470,20200,22965
102,08-Jul,401,100,1617,20736,23583
103,08-Aug,398,116,1344,16518,21365
104,08-Sep,512,116,1695,19940,24151
105,08-Oct,466,105,1339,19873,23493
106,08-Nov,389,91,1230,21141,20916
107,08-Dec,396,94,1340,24112,22625
108,09-Jan,484,79,876,14305,17185
109,09-Feb,453,76,938,15999,17692
110,09-Mar,550,103,1145,20356,21160
111,09-Apr,547,111,1141,21522,20614
112,09-May,773,130,1261,24373,21584
113,09-Jun,466,132,1490,22190,23957
114,09-Jul,576,140,1535,22854,23862
115,09-Aug,552,144,1718,22246,22895
116,09-Sep,557,138,1885,25851,23736
117,09-Oct,575,116,1476,22616,22182
118,09-Nov,437,114,1324,19521,21041
119,09-Dec,409,107,1367,24847,21318
120,10-Jan,301,82,963,11889,16583
121,10-Feb,369,84,974,13554,14747
122,10-Mar,395,109,1478,18926,18809
123,10-Apr,468,112,1562,20586,18024
124,10-May,478,116,1863,26253,20690
125,10-Jun,358,108,1704,22943,19209
126,10-Jul,342,114,1895,22364,19842
127,10-Aug,296,110,2124,23584,20147
128,10-Sep,372,127,1904,23289,19192
129,10-Oct,339,104,1849,25740,20269
130,10-Nov,346,99,1737,25350,19555
131,10-Dec,331,97,1886,33529,20699
132,11-Jan,275,92,1310,17085,16006
133,11-Feb,382,90,1548,29501,16937
134,11-Mar,494,137,1843,32661,18576
135,11-Apr,323,101,1528,22518,16743
136,11-May,374,133,1980,23396,19231
137,11-Jun,346,104,2040,23191,20285
138,11-Jul,393,105,2346,23030,23589
139,11-Aug,361,122,2184,21394,20743
140,11-Sep,274,85,1887,21397,20226
141,11-Oct,251,85,1856,21098,19713
142,11-Nov,252,81,1672,21188,19910
143,11-Dec,296,86,1840,25102,22907
144,12-Jan,198,71,1082,15725,14587
145,12-Feb,218,79,1081,16926,15631
146,12-Mar,267,96,1362,20826,18469
147,12-Apr,247,92,1472,22015,18840
148,12-May,256,97,1889,26294,21311
149,12-Jun,226,89,2036,25551,20626
150,12-Jul,202,101,2265,27300,22519
151,12-Aug,253,93,2378,27073,21617
152,12-Sep,192,69,2172,24453,20351
153,12-Oct,207,104,2255,29847,22143
154,12-Nov,171,65,1602,27511,19527
155,12-Dec,206,73,1752,29553,20452
156,13-Jan,159,76,1155,20035,15355
157,13-Feb,171,59,1089,19489,13831
158,13-Mar,235,96,1579,21885,17021
159,13-Apr,216,83,1988,22975,18283
160,13-May,167,83,2676,23701,19727
161,13-Jun,142,82,2899,28148,19638
162,13-Jul,140,87,2662,27322,21542
163,13-Aug,168,82,2890,26088,20058
164,13-Sep,148,87,2691,24229,19064
165,13-Oct,151,99,3324,26720,20794
166,13-Nov,144,61,1786,23234,18309
167,13-Dec,172,71,2180,27015,20440
168,14-Jan,136,95,1742,21299,10947
169,14-Feb,122,54,1717,19044,9623
170,14-Mar,181,85,2508,22751,12264
171,14-Apr,166,96,2844,22059,12323
172,14-May,144,98,3078,24550,14311
173,14-Jun,128,67,2976,24278,13455
174,14-Jul,132,84,3341,25363,13256
175,14-Aug,139,70,3318,24259,13219
176,14-Sep,130,89,2698,23934,12738
177,14-Oct,137,75,2251,22012,12274
178,14-Nov,91,64,1751,18947,10962
179,14-Dec,112,61,1639,18288,11253
180,15-Jan,122,87,1839,19405,11631
181,15-Feb,146,70,1650,18486,10328
182,15-Mar,146,71,2648,21309,12448
183,15-Apr,118,82,2857,21530,13106
184,15-May,122,96,3394,23694,14884
185,15-Jun,147,96,3281,22311,14600
186,15-Jul,125,79,3346,22946,14462
187,15-Aug,134,95,3335,22874,15350
188,15-Sep,116,84,2789,20757,15532
189,15-Oct,98,74,2440,19816,14384
190,15-Nov,103,65,1842,16311,12677
191,15-Dec,95,59,1642,16985,12234
192,16-Jan,130,74,1754,15502,12464
193,16-Feb,96,50,1672,14689,12121
194,16-Mar,99,94,2191,16644,14005
195,16-Apr,99,97,2729,16901,15328
196,16-May,101,78,2911,18315,15283
197,16-Jun,90,81,2976,18189,15249
198,16-Jul,107,95,3140,18782,15438
199,16-Aug,73,83,3026,18449,15082
200,16-Sep,122,87,2836,17817,15861
201,16-Oct,108,69,2417,17623,14868
202,16-Nov,72,68,1881,15294,13004
203,16-Dec,84,72,1824,15368,13368
