,위치,강도,살인,강간,절도,폭행
0,서울,39,30.9,37.5,34.5,38.2
1,부산,14.3,21.8,14.2,11.6,14.9
2,대구,5.8,7.8,7.8,9.1,10.7
3,인천,9.4,7.6,9.6,10.6,10.5
4,광주,5.5,4.8,7.2,7.4,4.7
5,대전,8.4,6.1,4.8,7.1,4.2
6,울산,4,3.2,4.3,4.5,3.5
7,경기,4.8,0.8,3.2,2.5,3
8,전북,1,3.2,1.8,1.4,1.8
9,경남,1.1,1.3,1.7,2.2,1.7
10,경북,1.7,2.1,2,2,1.8
11,제주,1.4,3.8,1.7,1.2,1.2
12,충남,2,3,1.2,2.5,1.2
13,전남,0.5,2.1,0.9,1,1
14,강원,0.8,0.8,1,1.3,1
15,충북,0.5,0.8,1,1.2,0.8
16,서울,48,36.3,40.1,44.7,38.7
17,부산,10.6,21.3,13.5,9.9,15.5
18,대구,6.2,5.8,7,6.3,10.3
19,인천,6.5,6.5,9.4,7.2,10.2
20,광주,5.4,5.2,6.9,7.2,4.7
21,대전,8.5,4.1,5,5.7,4.1
22,울산,2.8,2.4,4.1,4.1,3.1
23,경기,5,3.8,3.7,2.5,3.1
24,전북,0.9,2.6,1.9,2.4,1.6
25,경남,1.1,3.3,1.5,2.6,1.8
26,경북,1.4,2.1,2,1.9,1.8
27,제주,1.1,2.4,1.5,1.4,1.2
28,충남,1.6,2.1,1.4,1.7,1.3
29,전남,0.6,0.7,0.6,0.9,1
30,강원,0.4,1,0.8,0.9,1
31,충북,0.1,0.5,0.8,0.8,0.8
32,서울,49.4,34.8,43.5,50.2,37.5
33,부산,9.1,15.2,10.4,10.9,15.7
34,대구,6.3,6.1,6.6,4.8,11
35,인천,7.7,8.3,9,7.8,10
36,광주,5.4,7.1,7.2,6.2,4.3
37,대전,7.7,8.5,5.1,4.4,4.2
38,울산,2.4,3,3.8,3.9,3.4
39,경기,4.2,2.4,3.3,2.6,3.5
40,전북,0.6,2.6,1.6,1.5,2
41,경남,2.8,2.2,1.9,2.1,1.8
42,경북,1.2,2,1.7,1.5,2
43,제주,0.7,3.8,2,0.9,1.2
44,충남,0.6,2,1.5,1.2,1.3
45,전남,0.9,0.8,0.9,0.8,1
46,강원,0.6,1.2,0.8,0.5,0.8
47,충북,0.3,0.4,0.8,0.9,0.4
48,서울,52.8,31.1,44,46.2,37.7
49,부산,9.7,18,9.6,11.9,13.9
50,대구,5.1,5.4,6.4,5.6,10.9
51,인천,5.7,10.1,9.2,8.1,11.2
52,광주,5.3,6.3,6.8,6.4,4.6
53,대전,8,6.3,4.5,4.7,4.3
54,울산,2.3,4.3,4,3.4,3.8
55,경기,4.2,3.6,4.4,3.6,3.9
56,전북,0.7,2.2,1.8,1.7,1.6
57,경남,2,2.2,1.8,2.6,1.7
58,경북,1.1,1.8,1.7,1.5,1.7
59,제주,0.6,3.6,2.2,1.4,1.2
60,충남,1.2,1.8,1.4,1,1.2
61,전남,0.5,1.8,0.9,0.9,1
62,강원,0.5,0.9,0.8,0.4,0.9
63,충북,0.2,0.7,0.6,0.9,0.6
64,서울,43.6,38,46.3,38.8,39.2
65,부산,11,18.6,12,12.8,15.8
66,대구,6.7,6.8,6.5,6,10
67,인천,8.9,7,8.7,9.3,10.1
68,광주,6.4,3.8,3.5,5,3.3
69,대전,5.5,5.5,3.1,3.9,3
70,울산,3.7,3.5,3.7,3.7,3.3
71,경기,5.3,2.2,4.2,5.8,3.8
72,전북,1.7,2.2,1.7,2.2,1.4
73,경남,1.6,0.8,1.9,3.2,1.8
74,경북,1,2.2,1.6,2.2,2
75,제주,1.8,4.5,2.9,3.5,1.9
76,충남,1.5,2,1.4,1.1,1.5
77,전남,0.6,0.5,1,0.9,1.4
78,강원,0.5,1.8,1,0.9,0.9
79,충북,0.3,0.7,0.6,0.6,0.7
80,서울,43,37.1,44.1,31.5,37.2
81,부산,10,16.6,9.1,10.4,14.1
82,대구,7,6.8,7.3,8.1,10.5
83,인천,8.6,6.8,9.9,12.5,10
84,광주,4.8,6,5.7,8.4,4.4
85,대전,7.3,4.4,3.8,4.6,4.4
86,울산,3.1,2.3,3.6,4.4,3.6
87,경기,4.6,4.2,4.6,5.3,3.6
88,전북,2.6,2.3,2,3,1.5
89,경남,2.5,2.1,1.8,2.1,1.8
90,경북,1.1,2,1.4,2,1.8
91,제주,2.2,3.9,2.7,3.7,3
92,충남,2.1,3.6,1.6,1.7,1.5
93,전남,0.4,0.8,1,1.1,1.2
94,강원,0.5,0.7,1.1,0.8,0.8
95,충북,0.4,0.3,0.5,0.5,0.6
96,서울,41.7,32.6,45.1,28.5,38.2
97,부산,15.9,19,11.1,12.4,15.7
98,대구,7,7,5.4,9.6,10
99,인천,8,10.3,10.7,12.6,11.4
100,광주,2.2,2,3.2,5.6,2.9
101,대전,4.4,5.5,3.1,3.8,2.5
102,울산,3.4,2.5,3.6,4.6,4.1
103,경기,5.4,3.5,4.2,5.2,4.3
104,전북,1.7,2.2,1.7,3.4,1.3
105,경남,2.9,3,1.6,2.1,1.5
106,경북,1.4,2.5,1.5,1.9,1.9
107,제주,1.8,2.7,2.3,4.2,2.1
108,충남,2.7,3.8,4.5,3,1.5
109,전남,0.3,1.3,0.8,1.3,1
110,강원,0.8,0.5,0.9,0.7,1.1
111,충북,0.6,1.7,0.5,1,0.6
112,서울,37.3,35.2,43.3,26,34.2
113,부산,12.2,13.4,10.4,11.1,16.2
114,대구,7.4,5.4,5.9,7.5,10.9
115,인천,10,10.5,11,9.7,10.6
