,년월,최고기온,최저기온,평균기온,평균운량,일강수량,상대습도,평균평속
0,1990-01-01,0.2,-6.6,-3.2,4.5,62.2,60.9,2.4
1,1990-02-01,5.8,-0.1,2.7,6.3,64.8,71.9,2.2
2,1990-03-01,11.5,3.6,7.2,5,92.3,65.1,2.7
3,1990-04-01,16.3,6.7,11.3,5,94.2,63.7,3
4,1990-05-01,21,12.2,16.2,6.7,122.8,73.6,2.7
5,1990-06-01,24.6,17.4,20.7,7.5,497.2,80.9,2.4
6,1990-07-01,28.4,22,24.9,7.8,486.5,85,2.3
7,1990-08-01,30.9,22.8,26.4,5.1,283.5,77.3,2
8,1990-09-01,25.7,17,21.1,5.5,570.1,73.6,1.9
9,1990-10-01,21.3,10.3,15.4,2.4,0,62.9,1.8
10,1990-11-01,14.6,5.8,10,4.2,56,71.2,2.1
11,1990-12-01,4.8,-3,0.8,4.3,25.9,67.7,2.7
12,1991-01-01,1.6,-6.3,-2.6,3,14.4,62.6,2.2
13,1991-02-01,3.1,-4.6,-0.9,4.3,28.4,60.8,2.7
14,1991-03-01,9.6,0.7,4.9,5.3,65.5,63.5,2.7
15,1991-04-01,19.1,7.6,13,3.4,48.5,56.2,2.6
16,1991-05-01,22.8,12.7,17.5,4.4,83.2,59.4,2.9
17,1991-06-01,27.6,18.3,22.6,6.1,81.8,69.9,2.4
18,1991-07-01,27.8,21.4,24.3,7.4,487.8,83.6,2.3
19,1991-08-01,30,21.6,25.5,4.9,68.2,70.7,2
20,1991-09-01,25.5,17.3,21.1,5.3,175.2,70.2,1.7
21,1991-10-01,19.5,8.8,13.8,2.8,27.3,61.1,2
22,1991-11-01,10.9,2.1,6.5,3.5,35,59,2.1
23,1991-12-01,5.9,-1.5,2.2,5.4,42.9,69,2.2
24,1992-01-01,3.4,-3.4,-0.2,3.7,13.6,68.1,2.1
25,1992-02-01,5,-3.3,0.7,3.2,46.6,61.7,2.5
26,1992-03-01,12.2,3.5,7.6,5.1,11.2,57.7,2.3
27,1992-04-01,17.5,7.1,12,4.7,76.5,58.5,2.7
28,1992-05-01,21.9,11.7,16.4,4.5,155.5,64.5,2.6
29,1992-06-01,26,16.4,20.9,5.2,99.6,65.9,2.5
30,1992-07-01,28.4,22,24.8,7.9,270.1,80.5,2.6
31,1992-08-01,28.9,21.4,24.8,6.2,418.8,76.4,1.5
32,1992-09-01,25.1,16.9,20.9,5.3,168.5,71.2,1.8
33,1992-10-01,18.9,9.7,14,4,33.6,69.8,1.5
34,1992-11-01,10.8,2.1,6.2,4.1,89.5,66.9,1.9
35,1992-12-01,5.1,-2.1,1.5,4.4,71.4,64.8,2
36,1993-01-01,1.9,-5.5,-1.9,3.8,2.2,61.6,2.2
37,1993-02-01,5.3,-2.9,1,3.8,69.5,62.7,3.1
38,1993-03-01,10.5,1.9,5.8,4.1,29.2,63.2,2.6
39,1993-04-01,15.8,6.3,10.6,3.9,85.5,63.1,3.1
40,1993-05-01,23.8,13.3,18.2,5.4,135.7,63.9,2.4
41,1993-06-01,25.8,17.8,21.3,6.9,198.2,77.4,2.2
42,1993-07-01,27.6,19.8,23.3,6.7,424.4,77.1,2.1
43,1993-08-01,27.5,19.8,23.2,6.5,197.8,80.3,2
44,1993-09-01,26.3,16.9,21.2,4,56.1,67.3,2
45,1993-10-01,19.3,8.3,13.4,2.9,15.4,60.7,2.1
46,1993-11-01,12.5,5.2,8.5,5.5,66.6,69.7,2.4
47,1993-12-01,3.8,-3.8,-0.2,3.6,12.1,61.7,2.5
48,1994-01-01,3.1,-4.7,-0.9,4.5,6.5,57.7,2.3
49,1994-02-01,5.8,-3.2,0.8,3.8,14.8,55.3,2.5
50,1994-03-01,8.9,-0.1,4,4,31.7,59.5,3.2
51,1994-04-01,21.4,10,15.2,4.4,44.9,53.2,2.3
52,1994-05-01,23.1,13.4,17.9,4.9,152.4,67.1,2.8
53,1994-06-01,28.2,18.1,22.8,5.5,85,67.7,2.1
54,1994-07-01,32.6,25.3,28.5,6.1,139.5,78.9,2.1
55,1994-08-01,31.9,24.4,27.6,6,232.7,75.6,2.2
56,1994-09-01,26.1,16.7,21,3.8,60.7,68.6,1.9
57,1994-10-01,20.3,11.3,15.2,4.1,214.5,70.8,2
58,1994-11-01,13.6,5.4,9.3,4.1,49.6,63.4,2
59,1994-12-01,4.7,-2.4,1.1,4.1,23.5,59.7,2.3
60,1995-01-01,1.8,-5.7,-2.1,2.9,11.6,52.2,2.6
61,1995-02-01,6,-2.8,1.2,2.2,5.2,56,2.2
62,1995-03-01,10.3,2.2,6,5.4,60.6,64.1,2.8
63,1995-04-01,16.7,6.5,11.3,3.8,44.4,53.4,3.1
64,1995-05-01,22.1,12.1,17.1,4.7,60.6,57.9,2.7
65,1995-06-01,26.3,17.5,21.6,6.2,70.7,70.5,2
66,1995-07-01,27.8,21.7,24.5,7.6,436.1,81.4,2.5
67,1995-08-01,29.2,23.4,26,7.4,786.6,84.6,2.4
68,1995-09-01,24.5,15.7,20,4.9,47.2,67.5,1.6
69,1995-10-01,20.6,10.7,15.5,4.1,39.3,60.8,1.7
70,1995-11-01,11.5,1.8,6.2,2.6,32.9,56.7,2.3
71,1995-12-01,3,-4.4,-1,2.8,3.4,55.1,2.2
72,1996-01-01,2.3,-5.6,-2.2,3.6,16.3,50.5,2.4
73,1996-02-01,3.2,-5.5,-1.6,3,1,47.2,2.7
74,1996-03-01,9.5,1,4.9,5.2,77.9,53.8,2.7
75,1996-04-01,15.1,5.9,10.2,3.8,62,52.3,3
76,1996-05-01,24.2,13.3,18.4,4.2,29.3,57.8,2.2
77,1996-06-01,26.5,19.1,22.3,8.1,249.7,74.9,1.9
78,1996-07-01,28.3,21.2,24.4,7.6,512.8,75.7,1.9
79,1996-08-01,29.8,22.9,26,6.2,132.4,73.2,1.7
80,1996-09-01,27.3,17.5,22,3.9,11,65.9,1.8
81,1996-10-01,19.4,10,14.5,4.3,90.3,63.2,2
82,1996-11-01,10.3,2.4,6.1,4.5,62.9,63.5,2.2
83,1996-12-01,6,-2.5,1.6,3.6,11,58.9,2.2
84,1997-01-01,1.2,-7.1,-3.3,3.2,16.8,57.4,2.6
85,1997-02-01,5.6,-3.5,0.7,2.6,39.6,54,2.6
86,1997-03-01,11.8,2.5,6.8,3.2,25.3,56.3,2.7
87,1997-04-01,18.1,8.4,13,3.8,56.1,54.9,2.7
88,1997-05-01,21.5,12.9,17,6.3,291.3,66.2,2.5
89,1997-06-01,28.5,18.9,23.4,4.8,110,65.3,2.1
90,1997-07-01,30.1,22.8,26.1,5.8,299.6,80.1,1.9
91,1997-08-01,31.3,23.2,26.8,4.9,117.2,70.5,2.2
92,1997-09-01,25.4,15.7,20.2,3.9,76.9,63.2,2
93,1997-10-01,19,8.2,13.4,2.4,45.5,54.9,2.4
94,1997-11-01,13.7,4.6,8.8,4,93.8,60.9,2
95,1997-12-01,5.7,-1.8,1.8,4.2,38.1,59.3,2.1
96,1998-01-01,2.8,-4.7,-1.4,4,10.4,59,2.4
97,1998-02-01,7.8,-0.6,3.4,4.1,32.3,58.8,2.4
98,1998-03-01,12.5,2.8,7.3,3.6,45.1,57.6,2.8
99,1998-04-01,20.9,11.1,15.6,5.5,120.2,64.6,2.2
100,1998-05-01,24.3,14,19,5.1,121.5,59.3,2.2
101,1998-06-01,26.4,18,21.9,6.3,234.1,66.5,2.1
102,1998-07-01,28.6,21.9,24.9,7,311.8,74.5,2.5
103,1998-08-01,28.8,22.1,25,7.5,1237.8,78.4,2
104,1998-09-01,27.8,19,23,5,177.9,70.2,1.8
105,1998-10-01,22,12.7,17,4.7,27.4,66.8,1.9
106,1998-11-01,12.2,3.3,7.3,3.5,26.9,61.3,2.2
107,1998-12-01,6.6,-1.8,2.3,2.8,3.7,59.4,2.2
108,1999-01-01,3.5,-4.7,-0.8,3,10.2,58.3,2.6
109,1999-02-01,5,-3.1,0.7,4,2.9,60.1,2.8
110,1999-03-01,11.7,1.6,6.7,4.9,55,49.8,2.5
111,1999-04-01,19.3,8.7,13.9,4.4,97.2,59,2.5
112,1999-05-01,22.7,12.4,17.5,4.2,109.7,65.4,2.2
113,1999-06-01,28.3,18.5,23.1,5.2,131.8,67.4,1.8
114,1999-07-01,30,22.3,25.9,7.5,230.4,73.2,2.1
115,1999-08-01,30.2,22.3,26,6.4,600.5,74.1,1.2
116,1999-09-01,27,19.4,22.9,6.7,377.3,75.7,1.3
117,1999-10-01,19.1,10,14.3,4.9,81.6,70.5,1.1
118,1999-11-01,12.6,3.8,7.9,3.6,19.5,65.2,1.3
119,1999-12-01,4.4,-3.4,0.4,3,17,63.5,1.2
120,2000-01-01,1.7,-5.7,-2.1,4.2,42.8,63.7,2.6
121,2000-02-01,2.6,-5.8,-1.7,3.2,2.1,55.7,2.7
122,2000-03-01,11.4,1.7,6.3,3.9,3.1,55.2,3
123,2000-04-01,16.9,7.3,11.9,5,30.7,55.8,2.9
