,년월,최고기온,최저기온,평균기온,평균운량,일강수량,상대습도,평균평속
0,1990/1,6.8,-2.0,1.9,3.4,27.6,51.6,2.7
1,1990/2,10.5,4.0,7.0,7.0,98.8,67.6,2.2
2,1990/3,15.3,5.7,9.8,4.1,73.6,57.8,2.6
3,1990/4,18.1,9.1,13.4,4.9,231.0,60.4,2.7
4,1990/5,22.7,14.0,18.0,5.9,153.6,70.9,2.7
5,1990/6,26.6,19.2,22.4,6.6,359.9,77.0,2.7
6,1990/7,30.6,23.9,26.7,6.1,179.0,80.7,2.7
7,1990/8,33.3,25.3,28.7,3.6,52.0,74.8,2.2
8,1990/9,27.0,20.3,23.3,6.2,292.1,76.2,2.5
9,1990/10,22.8,13.7,17.9,3.7,6.5,66.8,2.0
10,1990/11,18.2,8.6,13.1,3.2,54.6,67.0,2.0
11,1990/12,10.2,0.8,5.0,2.5,1.8,56.3,2.2
12,1991/1,7.1,-1.1,2.8,3.4,36.7,55.7,2.3
13,1991/2,7.4,-0.8,3.1,3.7,47.7,55.9,2.4
14,1991/3,12.9,4.2,8.2,4.9,91.2,65.6,2.6
15,1991/4,19.3,9.1,13.8,4.0,166.1,65.5,2.5
16,1991/5,22.6,13.6,17.7,4.7,55.6,64.2,2.5
17,1991/6,26.4,19.5,22.6,6.9,291.2,79.1,2.4
18,1991/7,27.9,22.7,24.9,7.8,576.5,84.2,2.7
19,1991/8,28.2,22.0,24.7,6.1,548.4,77.4,2.6
20,1991/9,27.1,19.4,23.0,5.4,152.2,71.1,2.0
21,1991/10,22.2,12.6,17.1,2.4,3.5,58.7,2.3
22,1991/11,15.5,5.6,10.2,2.2,11.1,56.4,1.9
23,1991/12,11.5,2.8,6.5,3.7,42.7,60.4,1.9
24,1992/1,9.2,0.5,4.3,3.1,24.1,56.1,2.2
25,1992/2,9.7,0.0,4.4,2.2,44.1,55.2,2.4
26,1992/3,13.6,5.9,9.3,6.7,59.1,63.4,2.3
27,1992/4,19.1,9.4,14.0,4.2,167.6,61.8,2.7
28,1992/5,22.9,13.3,17.8,4.7,179.4,65.0,2.4
29,1992/6,25.4,16.9,20.6,5.0,46.1,71.2,2.6
30,1992/7,29.7,22.8,25.6,5.3,99.5,81.2,2.8
31,1992/8,29.3,23.4,25.9,6.4,247.1,76.4,2.4
32,1992/9,27.3,19.7,23.0,5.2,264.8,71.2,2.3
33,1992/10,21.9,12.6,16.6,3.0,16.5,65.0,2.0
34,1992/11,15.6,5.4,10.0,2.3,71.8,60.9,1.9
35,1992/12,10.7,2.2,6.0,3.3,86.5,58.2,1.9
36,1993/1,7.1,-1.0,2.7,3.3,39.1,49.4,2.6
37,1993/2,10.7,0.6,5.3,2.6,67.3,50.7,2.4
38,1993/3,13.6,3.9,8.3,4.3,70.4,58.9,2.3
39,1993/4,19.3,8.6,13.5,3.5,22.7,56.1,2.7
40,1993/5,23.2,13.5,17.7,4.4,159.1,71.4,2.4
41,1993/6,25.3,18.7,21.4,6.7,226.5,79.6,2.5
42,1993/7,26.4,20.5,23.0,7.3,199.2,80.6,2.2
43,1993/8,27.3,21.0,23.8,7.5,660.0,81.2,2.0
44,1993/9,26.7,18.8,22.3,5.0,34.7,70.3,1.9
45,1993/10,21.3,12.2,16.5,3.3,54.6,57.8,2.2
46,1993/11,15.5,7.7,11.3,4.6,73.8,65.3,1.9
47,1993/12,8.7,-0.3,3.9,2.5,33.2,53.6,2.2
48,1994/1,7.3,-1.0,2.8,2.8,31.0,49.7,2.2
49,1994/2,9.6,0.6,4.8,3.3,33.2,50.6,2.3
50,1994/3,12.2,2.9,7.3,3.9,33.9,50.6,2.5
51,1994/4,20.3,10.5,15.0,5.7,123.1,61.4,2.2
52,1994/5,23.6,14.6,19.1,4.8,213.1,66.4,2.6
53,1994/6,25.7,18.0,21.6,6.5,63.1,72.9,2.4
54,1994/7,33.6,25.6,29.1,3.2,36.4,70.3,2.7
55,1994/8,32.5,25.6,28.8,3.9,135.5,69.7,2.7
56,1994/9,28.6,19.8,23.9,3.2,18.3,56.9,2.5
57,1994/10,22.9,13.6,18.0,3.6,79.0,58.4,2.2
58,1994/11,18.1,9.1,13.3,3.0,38.5,54.5,2.0
59,1994/12,10.5,1.6,5.9,3.4,9.1,47.5,2.3
60,1995/1,7.1,-1.7,2.4,1.8,34.5,44.4,2.4
61,1995/2,10.2,0.7,5.2,3.1,20.1,48.1,2.3
62,1995/3,13.8,4.7,9.0,4.6,82.1,60.9,2.5
63,1995/4,18.7,8.8,13.7,3.8,135.4,58.0,2.5
64,1995/5,22.7,12.9,17.8,4.4,112.3,63.5,2.5
65,1995/6,25.6,17.7,21.3,5.9,133.3,73.1,2.4
66,1995/7,28.5,22.8,25.3,7.2,243.3,85.3,2.8
67,1995/8,32.3,25.1,28.2,4.6,78.3,81.9,2.5
68,1995/9,26.0,18.4,21.9,5.6,62.2,70.5,1.9
69,1995/10,22.9,13.3,17.9,3.7,49.8,65.1,1.9
70,1995/11,15.5,4.7,9.9,1.4,4.9,51.8,2.0
71,1995/12,8.5,-0.4,3.9,1.6,0.0,49.8,2.1
72,1996/1,7.3,-1.3,2.9,3.5,43.9,45.0,2.3
73,1996/2,7.7,-1.6,2.9,2.5,8.1,48.4,2.5
74,1996/3,12.3,3.5,7.8,5.1,146.3,62.6,2.4
75,1996/4,17.8,7.6,12.5,4.0,87.0,55.2,2.6
76,1996/5,23.6,14.0,18.5,4.5,44.5,65.5,2.1
77,1996/6,24.2,18.7,21.1,7.8,325.4,84.6,2.2
78,1996/7,28.8,21.9,24.9,6.1,183.2,80.1,2.5
79,1996/8,30.9,23.9,27.0,5.0,121.0,74.6,1.8
80,1996/9,27.8,19.1,23.1,4.5,33.5,72.8,1.5
81,1996/10,22.9,13.2,17.7,4.0,26.1,65.6,1.6
82,1996/11,14.9,7.0,10.7,4.2,64.2,62.0,1.8
83,1996/12,10.3,-0.1,4.6,1.6,30.0,59.1,1.3
84,1997/1,6.9,-2.0,2.2,2.4,8.5,46.3,2.2
85,1997/2,10.2,0.1,5.0,2.9,14.8,45.4,2.1
86,1997/3,14.8,5.1,9.5,4.3,45.0,51.5,2.2
87,1997/4,19.2,9.7,14.2,4.6,93.7,66.3,2.2
88,1997/5,23.5,14.9,18.7,5.4,264.1,73.2,2.2
89,1997/6,27.6,19.1,22.9,4.7,350.8,75.2,2.0
90,1997/7,29.0,22.6,25.4,6.9,304.3,81.0,2.4
91,1997/8,30.6,23.8,26.8,5.5,221.1,77.2,2.0
92,1997/9,27.0,19.1,22.6,4.4,10.5,66.7,2.7
93,1997/10,22.5,12.2,17.2,1.9,0.0,59.7,2.0
94,1997/11,16.8,8.4,12.4,4.2,183.8,68.5,1.6
95,1997/12,9.9,1.7,5.6,3.4,53.2,57.8,2.0
96,1998/1,7.1,-0.8,3.0,4.0,53.9,56.6,2.6
97,1998/2,11.0,2.9,6.7,4.5,64.0,60.5,2.6
98,1998/3,15.3,5.8,10.0,4.7,82.1,55.5,2.6
99,1998/4,20.3,12.4,16.0,6.5,181.2,74.6,2.2
100,1998/5,24.4,15.5,19.6,5.9,179.1,70.9,2.3
101,1998/6,24.4,18.3,21.1,7.3,313.4,80.1,2.4
102,1998/7,28.8,23.2,25.6,7.8,206.3,83.6,2.6
103,1998/8,30.5,24.1,27.0,6.6,342.9,82.3,2.2
104,1998/9,28.8,20.6,24.3,4.7,308.2,74.3,2.2
105,1998/10,24.2,15.8,19.7,4.4,70.3,68.0,2.2
106,1998/11,16.2,6.6,11.1,2.5,19.0,60.5,2.0
107,1998/12,11.6,1.9,6.5,1.5,0.9,51.7,2.1
108,1999/1,8.5,-1.2,3.3,2.0,38.7,53.4,2.1
109,1999/2,10.1,0.0,4.9,2.5,24.7,50.2,2.2
110,1999/3,13.6,4.8,9.0,6.1,165.7,55.5,2.4
111,1999/4,19.7,9.7,14.5,4.2,108.8,59.4,2.5
112,1999/5,24.4,14.3,19.0,3.3,207.0,60.7,2.4
113,1999/6,26.5,19.0,22.1,5.7,258.3,76.6,2.3
114,1999/7,27.7,22.2,24.5,7.6,674.4,78.9,2.5
115,1999/8,29.0,23.2,25.9,7.2,525.6,79.2,2.0
116,1999/9,28.0,21.3,24.3,6.3,598.9,76.6,1.9
117,1999/10,21.9,12.9,17.1,4.4,273.2,64.8,1.9
118,1999/11,16.1,7.0,11.3,2.9,21.7,56.8,1.9
119,1999/12,9.9,0.7,4.9,1.4,0.4,53.0,2.0
120,2000/1,7.6,-0.6,3.3,3.6,17.3,49.5,1.9
121,2000/2,8.2,-1.6,3.0,2.6,0.001,36.9,2.6
122,2000/3,14.7,3.9,8.9,3.2,33.1,48.9,2.4
123,2000/4,19.1,8.9,13.4,4.5,81.1,55.9,2.4
124,2000/5,23.5,13.6,17.9,4.3,65.0,68.6,2.3
125,2000/6,26.0,18.3,21.4,6.8,118.7,74.3,2.3
126,2000/7,30.1,23.1,26.0,6.5,345.7,77.2,2.6
127,2000/8,30.7,23.8,26.7,6.0,415.0,76.4,2.2
128,2000/9,26.2,18.6,21.9,6.3,239.4,67.9,2.4
129,2000/10,22.1,13.8,17.4,5.1,38.7,59.7,2.0
130,2000/11,15.4,6.6,10.5,3.5,52.3,54.0,2.0
131,2000/12,10.2,1.3,5.4,2.3,1.4,43.9,1.9
132,2001/1,5.6,-1.6,1.8,4.0,66.0,48.3,2.3
