,년월,최고기온,최저기온,평균기온,평균운량,일강수량,상대습도,평균평속
0,1990/1,6.1,-2.8,0.9,3.3,30.5,51.3,2.9
1,1990/2,9.4,3.4,6.1,7.0,157.8,73.8,2.4
2,1990/3,14.4,5.4,9.4,4.1,52.2,61.4,3.0
3,1990/4,18.0,8.9,13.2,4.7,79.7,60.7,2.7
4,1990/5,23.4,14.2,18.4,4.8,80.7,68.3,3.2
5,1990/6,26.8,18.6,22.2,6.2,171.2,76.0,2.8
6,1990/7,29.9,23.3,26.1,5.9,174.6,82.4,2.7
7,1990/8,32.5,24.4,28.0,3.3,91.7,77.8,2.3
8,1990/9,25.2,19.3,22.0,6.5,119.3,81.8,3.3
9,1990/10,21.5,12.7,16.7,3.7,33.1,69.5,2.5
10,1990/11,17.5,8.8,12.9,3.2,43.3,64.0,2.4
11,1990/12,10.2,0.5,4.6,1.9,1.1,47.4,2.7
12,1991/1,6.4,-1.6,1.8,3.6,34.7,51.0,2.7
13,1991/2,6.8,-1.4,2.3,3.8,48.2,50.5,3.1
14,1991/3,11.8,3.8,7.3,5.2,88.5,64.6,3.6
15,1991/4,17.9,8.5,13.0,4.3,82.7,61.8,3.1
16,1991/5,22.2,13.4,17.5,4.7,27.0,60.9,3.2
17,1991/6,27.0,19.2,22.9,6.2,80.6,70.2,2.2
18,1991/7,28.1,22.0,24.8,7.5,414.1,77.4,2.2
19,1991/8,25.6,21.3,23.3,7.1,579.0,79.3,3.6
20,1991/9,25.4,18.6,21.8,6.0,125.9,70.8,2.6
21,1991/10,21.5,12.5,16.5,2.9,0.2,57.2,3.2
22,1991/11,15.0,5.2,9.6,2.0,6.4,55.6,2.2
23,1991/12,10.4,2.9,6.4,4.6,99.6,61.4,2.7
24,1992/1,8.3,0.5,3.8,3.5,64.2,56.0,2.8
25,1992/2,9.4,0.0,4.1,2.8,23.6,53.9,2.3
26,1992/3,12.5,5.4,8.7,6.8,84.0,71.3,3.4
27,1992/4,19.0,9.8,14.1,4.5,119.0,61.6,3.2
28,1992/5,22.1,12.5,17.0,4.7,55.0,69.9,2.7
29,1992/6,25.8,17.1,21.3,5.5,25.2,71.4,2.5
30,1992/7,31.5,23.3,26.8,5.6,105.0,75.3,2.3
31,1992/8,26.7,22.1,24.1,7.3,273.5,83.7,3.6
32,1992/9,25.8,19.3,22.3,5.8,130.4,75.1,2.7
33,1992/10,20.5,12.1,15.9,4.8,16.4,68.8,3.1
34,1992/11,15.3,5.4,9.8,2.9,13.3,60.4,2.5
35,1992/12,9.6,2.1,5.5,3.8,40.6,57.7,2.2
36,1993/1,6.0,-1.2,2.1,4.2,71.6,57.7,2.6
37,1993/2,9.7,0.6,4.9,3.3,70.8,51.5,2.7
38,1993/3,11.9,3.1,7.3,4.3,69.2,62.2,3.1
39,1993/4,18.4,8.8,13.4,3.5,25.8,56.6,3.1
40,1993/5,21.9,13.6,17.5,5.6,121.2,70.5,2.6
41,1993/6,23.7,17.4,20.2,7.7,157.2,78.1,2.2
42,1993/7,24.2,19.2,21.3,8.3,296.7,81.6,2.7
43,1993/8,25.4,20.1,22.4,7.7,451.7,82.2,1.9
44,1993/9,25.3,18.0,21.3,5.5,53.4,73.2,2.1
45,1993/10,20.1,11.7,15.6,3.6,39.2,62.1,2.3
46,1993/11,15.0,7.8,11.1,5.1,64.2,64.1,2.4
47,1993/12,8.7,-0.4,3.7,3.1,10.2,52.1,2.7
48,1994/1,7.3,-1.6,2.2,3.5,24.0,51.9,2.3
49,1994/2,8.8,-0.1,4.0,3.6,28.5,52.4,2.6
50,1994/3,11.5,2.4,6.5,4.1,29.0,51.9,2.5
51,1994/4,19.8,10.3,14.8,5.2,38.9,58.8,2.5
52,1994/5,24.4,14.7,19.2,4.8,157.1,58.5,2.7
53,1994/6,26.2,17.5,21.6,6.5,105.7,71.6,2.6
54,1994/7,33.6,25.6,29.2,3.8,16.9,72.9,2.7
55,1994/8,33.1,25.2,28.8,3.5,19.8,71.0,3.2
56,1994/9,27.9,18.8,22.8,4.3,11.4,66.2,3.0
