,년월,최고기온,최저기온,평균기온,평균운량,일강수량,상대습도,평균평속
0,1990/1,7.7,2.5,5.0,7.5,64.5,72.0,4.6
1,1990/2,10.5,5.4,8.1,8.0,119.8,76.3,3.8
2,1990/3,13.2,6.9,10.1,5.6,39.2,69.9,4.0
3,1990/4,16.5,10.1,13.3,5.3,97.5,69.2,4.7
4,1990/5,21.4,14.2,17.7,6.1,104.5,75.1,3.3
5,1990/6,26.6,19.3,22.8,6.0,271.8,77.1,3.6
6,1990/7,29.8,23.8,26.7,4.8,200.6,81.8,3.0
7,1990/8,31.9,25.1,28.2,4.3,176.1,76.8,3.3
8,1990/9,26.4,21.1,23.8,6.6,257.9,76.5,3.9
9,1990/10,20.8,15.0,17.9,5.0,53.3,71.1,3.3
10,1990/11,17.8,11.2,14.5,5.2,118.7,70.6,3.6
11,1990/12,11.4,5.5,8.4,6.2,40.6,63.5,4.7
12,1991/1,8.9,4.1,6.5,7.4,104.2,62.7,4.6
13,1991/2,8.5,3.2,5.8,7.2,63.7,64.3,5.1
14,1991/3,11.7,6.4,9.0,6.5,203.2,72.0,3.7
15,1991/4,16.8,10.1,13.4,5.8,87.6,69.0,3.3
16,1991/5,20.9,14.2,17.3,5.5,165.5,65.5,3.8
17,1991/6,25.1,19.3,22.0,7.2,228.7,73.5,3.2
18,1991/7,29.0,23.1,25.7,7.2,338.5,75.6,3.6
19,1991/8,27.2,22.8,24.8,6.1,260.0,75.1,3.7
20,1991/9,25.8,20.6,23.1,5.9,236.5,72.1,3.5
21,1991/10,20.5,13.7,17.4,3.2,22.9,59.4,3.2
22,1991/11,15.4,8.9,12.1,4.4,43.7,63.5,3.4
23,1991/12,11.8,5.7,8.7,6.0,56.4,70.0,3.7
24,1992/1,9.6,4.6,7.2,6.6,78.5,65.3,4.4
25,1992/2,9.8,3.8,6.8,5.9,23.4,62.5,4.4
26,1992/3,12.8,7.9,10.3,7.9,227.5,76.8,3.8
27,1992/4,18.1,10.5,14.1,4.9,143.5,67.9,3.7
28,1992/5,21.4,14.2,17.5,4.0,107.5,71.3,3.7
29,1992/6,23.4,17.3,20.1,5.6,72.2,78.1,2.8
30,1992/7,29.5,23.3,26.0,5.2,92.0,80.7,2.9
31,1992/8,29.5,24.3,26.5,6.5,198.3,80.9,3.0
32,1992/9,26.6,20.6,23.4,5.7,191.9,73.9,3.6
33,1992/10,20.5,14.4,17.4,5.0,7.0,73.6,3.4
34,1992/11,15.7,8.4,12.1,5.1,56.3,72.3,3.8
35,1992/12,12.5,6.4,9.6,7.0,34.8,69.1,4.3
36,1993/1,7.4,3.6,5.5,8.1,57.3,67.5,4.6
37,1993/2,10.5,3.8,7.1,6.2,42.9,65.5,5.1
38,1993/3,12.6,5.6,8.9,5.4,94.6,66.3,3.2
39,1993/4,17.2,9.9,13.5,4.6,29.0,61.4,3.8
40,1993/5,20.8,14.1,17.4,5.9,141.8,74.9,3.1
41,1993/6,24.7,18.1,20.9,7.1,204.9,83.0,2.9
42,1993/7,26.8,21.6,23.7,7.9,137.5,84.2,3.5
43,1993/8,26.6,21.9,24.0,7.5,578.4,84.7,2.9
44,1993/9,25.4,19.3,22.4,5.9,34.2,73.6,2.7
45,1993/10,20.3,14.2,17.3,4.9,60.2,65.6,3.5
46,1993/11,16.8,10.9,13.7,6.9,115.6,73.9,3.8
47,1993/12,10.7,4.6,7.6,6.6,56.4,63.5,4.5
48,1994/1,8.9,3.1,6.0,6.9,37.5,66.1,3.8
49,1994/2,9.3,4.1,6.7,6.6,46.0,65.3,4.2
50,1994/3,11.2,4.8,7.9,5.1,43.5,61.0,3.8
51,1994/4,18.6,12.0,15.1,5.8,106.5,72.1,3.5
52,1994/5,22.8,15.1,18.8,4.8,24.8,67.1,3.0
53,1994/6,24.7,17.9,21.0,6.6,342.3,76.8,2.9
54,1994/7,31.2,25.7,28.4,2.6,72.3,78.6,2.5
55,1994/8,30.8,25.4,27.9,4.7,365.3,79.1,3.3
56,1994/9,26.1,19.7,23.0,3.4,94.0,65.2,2.7
57,1994/10,21.6,15.7,18.6,4.9,271.1,66.5,3.6
58,1994/11,18.0,11.8,14.9,4.9,17.1,72.7,3.0
59,1994/12,11.8,6.6,9.4,7.3,28.5,71.7,3.8
60,1995/1,8.4,3.7,6.1,7.2,52.2,66.6,4.9
61,1995/2,9.3,4.4,6.8,6.1,55.1,65.7,4.0
62,1995/3,13.4,6.6,9.9,5.9,61.3,68.0,4.4
63,1995/4,16.5,9.4,13.0,5.9,72.9,69.8,3.0
64,1995/5,20.8,13.0,17.0,5.2,136.0,68.8,2.8
65,1995/6,23.0,17.5,20.3,6.9,100.9,84.4,2.9
66,1995/7,29.3,23.3,25.9,6.1,413.2,83.3,2.8
67,1995/8,31.8,25.6,28.3,4.7,336.9,80.8,2.6
68,1995/9,25.1,19.8,22.3,6.4,121.2,75.1,2.7
69,1995/10,21.5,15.4,18.5,5.1,66.8,72.3,3.0
70,1995/11,15.4,8.9,12.2,4.7,33.8,59.7,4.2
71,1995/12,9.2,4.6,7.1,7.3,22.6,66.6,4.6
72,1996/1,8.6,3.3,5.9,7.2,29.9,66.1,3.8
73,1996/2,7.3,1.7,4.5,6.9,21.2,65.7,4.2
74,1996/3,12.2,5.6,8.8,6.8,114.1,66.7,3.9
75,1996/4,15.6,8.7,12.0,5.0,35.5,60.1,3.1
76,1996/5,21.9,14.3,17.9,5.4,57.2,70.2,2.9
77,1996/6,26.6,19.6,22.6,7.8,223.7,81.0,3.1
78,1996/7,28.6,22.7,25.1,6.0,48.7,77.2,2.8
79,1996/8,30.0,24.9,27.3,5.5,111.7,75.1,2.8
80,1996/9,26.2,20.1,23.1,5.4,7.8,68.1,2.5
81,1996/10,21.1,14.8,18.1,4.8,100.7,70.0,2.9
82,1996/11,15.7,10.4,13.3,6.8,78.8,64.3,3.8
83,1996/12,12.4,6.0,9.2,5.0,51.8,64.1,4.0
84,1997/1,7.8,2.7,5.3,7.0,23.8,63.7,4.5
85,1997/2,10.0,3.9,6.8,6.0,26.6,64.4,3.7
86,1997/3,13.2,7.2,10.2,5.7,72.1,65.1,2.9
87,1997/4,17.7,11.1,14.3,5.0,170.8,68.4,2.7
88,1997/5,22.9,15.8,19.0,5.5,74.6,70.7,3.0
89,1997/6,26.0,19.8,22.9,5.6,79.2,76.0,2.5
90,1997/7,29.5,24.3,26.7,5.6,108.3,80.5,3.3
91,1997/8,29.2,24.3,26.7,5.9,161.3,78.8,3.0
