,년월,최고기온,최저기온,평균기온,평균운량,일강수량,상대습도,평균평속
0,1990/1,5.1,-2.0,1.4,3.9,33.9,62.7,4.8
1,1990/2,9.2,3.7,6.1,6.6,130.9,75.0,4.9
2,1990/3,13.2,5.3,8.9,4.1,87.9,67.2,4.8
3,1990/4,16.5,8.9,12.4,5.0,138.7,63.9,4.3
4,1990/5,20.8,13.9,17.0,5.8,153.6,74.6,3.6
5,1990/6,24.6,18.6,21.2,7.0,290.3,83.8,3.2
6,1990/7,28.4,22.5,24.9,6.3,160.0,89.2,2.6
7,1990/8,31.2,23.8,27.0,3.6,222.4,77.9,2.7
8,1990/9,26.0,19.8,22.5,5.7,219.6,75.1,4.7
9,1990/10,21.6,14.0,17.4,3.6,4.8,66.0,4.1
10,1990/11,17.4,9.5,13.3,3.4,64.7,66.4,3.8
11,1990/12,9.6,1.7,5.0,3.1,2.0,63.0,4.1
12,1991/1,6.6,-0.4,2.5,3.9,25.8,57.9,4.7
13,1991/2,6.8,-0.7,2.6,3.8,33.7,58.9,4.9
14,1991/3,11.5,4.2,7.5,5.2,109.9,65.0,4.6
15,1991/4,17.8,9.1,13.0,4.8,99.1,63.0,3.8
16,1991/5,20.9,13.4,16.6,5.1,87.4,68.3,3.5
17,1991/6,25.0,18.6,21.3,7.2,209.3,79.6,2.5
18,1991/7,27.0,21.8,23.6,7.9,298.8,88.6,3.3
19,1991/8,27.2,21.6,23.8,6.2,287.1,82.5,3.8
20,1991/9,26.3,19.9,22.4,5.8,177.0,78.2,4.2
21,1991/10,21.2,13.1,16.6,2.4,0.001,67.7,4.4
22,1991/11,14.8,6.8,10.4,2.5,21.1,65.0,3.5
23,1991/12,10.3,3.1,6.4,3.4,44.9,67.0,3.9
24,1992/1,8.5,1.0,4.2,3.4,24.2,64.7,4.2
25,1992/2,8.8,0.3,3.9,3.0,44.6,57.4,4.1
26,1992/3,12.6,5.6,8.5,6.8,91.5,72.1,4.2
27,1992/4,17.9,9.5,13.5,4.1,193.1,66.2,4.2
28,1992/5,21.8,13.6,17.3,4.3,158.9,65.7,4.0
29,1992/6,24.3,16.8,20.2,5.3,52.2,72.0,2.8
30,1992/7,28.0,22.2,24.7,6.1,146.1,82.3,3.1
31,1992/8,28.7,23.0,25.7,5.7,204.2,77.6,4.0
32,1992/9,26.2,19.6,22.7,5.3,205.7,72.1,4.6
33,1992/10,20.7,13.3,16.7,3.4,18.8,65.3,3.8
34,1992/11,14.7,6.7,10.2,2.8,36.3,61.4,3.9
35,1992/12,9.8,2.8,6.1,3.6,45.2,61.3,4.4
36,1993/1,6.0,-0.7,2.4,4.0,26.9,55.9,5.2
37,1993/2,8.9,0.9,4.5,3.1,65.1,55.9,4.9
38,1993/3,12.2,4.2,7.8,3.8,69.6,62.3,3.7
39,1993/4,17.7,8.7,12.7,3.9,50.0,61.7,4.3
40,1993/5,21.5,13.9,17.3,5.0,147.9,73.6,3.3
41,1993/6,24.0,18.2,20.9,6.6,214.3,84.6,3.1
42,1993/7,25.1,20.2,22.4,7.3,168.3,78.6,3.5
43,1993/8,26.4,20.7,23.4,7.1,603.0,76.7,3.5
44,1993/9,25.3,18.9,21.9,5.2,42.7,72.1,3.2
45,1993/10,20.4,12.7,16.2,3.5,37.8,62.3,4.3
46,1993/11,15.1,8.5,11.5,4.8,91.7,67.4,4.8
47,1993/12,8.9,1.0,4.5,3.0,36.5,57.1,4.3
48,1994/1,7.2,-0.7,2.9,3.0,22.4,54.4,4.0
49,1994/2,8.6,0.7,4.2,3.8,20.3,55.3,4.7
50,1994/3,10.8,2.7,6.3,3.6,44.2,57.0,4.5
51,1994/4,18.5,10.6,14.2,5.3,117.1,67.7,3.9
52,1994/5,21.6,14.2,17.7,4.9,250.1,72.3,3.3
53,1994/6,24.7,17.7,20.8,6.4,31.9,79.4,2.8
54,1994/7,32.0,24.9,27.8,3.6,112.5,80.7,3.2
55,1994/8,30.6,25.0,27.6,4.3,277.4,81.0,3.9
56,1994/9,27.8,19.4,23.1,2.7,28.3,64.0,3.8
57,1994/10,22.0,13.8,17.5,3.3,99.8,67.2,4.3
58,1994/11,17.2,9.8,13.1,2.7,36.5,63.2,3.9
59,1994/12,9.8,2.8,6.1,3.7,7.9,56.3,4.7
60,1995/1,6.0,-1.2,2.1,2.2,37.7,53.7,4.8
61,1995/2,9.3,1.1,4.7,3.1,24.1,52.7,4.4
62,1995/3,12.5,4.6,8.2,4.2,85.8,62.6,4.4
63,1995/4,17.4,8.5,12.6,3.9,89.1,59.3,3.8
64,1995/5,20.9,13.0,16.9,4.2,139.2,65.7,3.3
65,1995/6,24.4,17.6,20.6,4.5,107.0,76.5,3.5
66,1995/7,27.1,22.0,24.0,7.3,354.2,87.3,3.0
67,1995/8,30.8,24.4,27.0,4.3,129.9,84.0,2.7
68,1995/9,25.3,18.3,21.3,5.1,46.2,69.3,3.6
