,년월,최고기온,최저기온,평균기온,평균운량,일강수량,상대습도,평균평속
0,1990/1,0.2,-9.6,-4.8,4.9,33.7,70.9,1.5
1,1990/2,5.6,-2.7,1.1,7.0,81.4,78.3,1.4
2,1990/3,12.2,0.6,5.9,5.4,85.1,69.5,1.7
3,1990/4,17.2,4.2,10.4,4.8,77.4,66.3,2.1
4,1990/5,21.8,11.1,16.0,7.1,152.7,74.2,1.8
5,1990/6,25.0,16.6,20.4,8.0,357.5,81.0,1.4
6,1990/7,28.4,21.0,24.3,8.2,492.4,85.8,1.2
7,1990/8,31.2,21.6,25.6,6.1,213.1,82.6,1.1
8,1990/9,25.3,15.0,19.4,6.2,491.9,81.8,1.4
9,1990/10,20.5,7.1,12.6,4.4,13.5,79.0,1.0
10,1990/11,12.7,3.2,7.7,6.0,46.5,79.7,1.3
11,1990/12,3.3,-5.8,-1.6,5.1,24.0,74.6,1.5
12,1991/1,0.9,-10.5,-5.3,3.9,18.3,64.2,0.9
13,1991/2,2.7,-7.3,-2.6,4.3,38.4,57.6,1.7
14,1991/3,9.9,-1.2,4.0,5.2,30.6,65.0,1.9
15,1991/4,19.9,3.5,11.8,3.3,49.8,55.7,1.7
16,1991/5,23.6,10.1,16.8,4.4,87.2,59.7,1.8
17,1991/6,28.3,17.5,22.6,6.2,107.9,71.6,1.3
18,1991/7,28.4,20.5,24.2,7.7,624.7,82.7,1.2
19,1991/8,29.7,19.2,24.0,4.9,58.8,76.5,1.3
20,1991/9,25.0,15.1,19.4,5.9,189.0,79.0,0.9
21,1991/10,18.9,5.2,11.5,4.0,21.0,74.1,1.1
22,1991/11,10.9,-1.1,4.5,4.1,24.4,72.2,1.0
23,1991/12,4.6,-3.5,0.4,6.2,47.9,78.6,1.0
24,1992/1,2.3,-6.4,-2.3,4.7,13.8,70.6,1.0
25,1992/2,4.7,-6.5,-1.1,3.3,59.7,63.4,1.4
26,1992/3,12.0,0.3,6.0,5.5,10.4,63.8,1.6
27,1992/4,18.2,4.5,11.4,4.9,64.3,61.3,1.9
28,1992/5,22.6,9.9,15.9,4.4,123.6,68.0,1.3
29,1992/6,26.9,14.9,20.4,5.4,75.0,70.8,1.2
30,1992/7,29.2,21.2,24.8,7.4,142.3,79.6,1.2
31,1992/8,28.3,20.1,23.9,6.9,277.5,81.2,0.9
32,1992/9,25.2,15.0,19.3,5.9,142.5,80.7,0.9
33,1992/10,18.5,7.3,12.0,5.8,55.0,79.0,0.8
34,1992/11,10.0,-0.1,4.4,5.0,60.9,77.5,1.1
35,1992/12,3.3,-5.0,-1.0,5.1,76.5,80.5,1.1
36,1993/1,1.5,-8.0,-3.7,4.4,10.0,79.8,1.0
37,1993/2,5.7,-5.1,-0.2,3.6,49.1,69.9,1.7
38,1993/3,10.8,-1.3,4.3,4.3,22.5,67.6,1.4
39,1993/4,17.1,3.7,10.4,4.8,83.5,60.5,2.0
40,1993/5,24.5,11.6,17.5,5.3,184.9,68.6,1.2
41,1993/6,26.7,17.5,21.7,6.9,170.7,77.1,1.0
42,1993/7,27.4,18.2,22.5,6.7,318.4,78.6,0.9
43,1993/8,27.1,18.5,22.2,7.1,199.9,82.2,0.9
44,1993/9,25.8,13.6,19.0,4.8,45.7,76.6,1.0
45,1993/10,18.9,4.7,11.0,4.0,13.8,72.0,1.0
46,1993/11,11.7,3.2,7.2,6.6,49.5,73.6,1.5
47,1993/12,3.3,-5.8,-1.6,4.7,13.0,72.4,1.2
48,1994/1,2.8,-7.4,-2.8,4.7,10.2,70.4,1.0
49,1994/2,5.6,-7.3,-1.6,3.5,4.6,68.4,1.1
50,1994/3,9.6,-3.0,3.2,3.8,21.7,59.8,1.9
51,1994/4,22.1,5.4,13.6,4.1,35.0,55.2,1.5
52,1994/5,23.2,10.6,16.7,5.4,130.6,68.4,1.5
53,1994/6,27.9,15.7,21.6,5.8,99.9,69.8,1.0
