,년월,최고기온,최저기온,평균기온,평균운량,일강수량,상대습도,평균평속
0,1990/1,1.4,-7.0,-2.9,5.4,53.5,84.1,1.0
1,1990/2,6.3,-2.3,1.8,6.4,87.6,83.4,1.3
2,1990/3,12.0,1.4,6.3,4.4,60.1,72.6,1.6
3,1990/4,17.1,5.3,10.8,4.8,69.4,72.2,1.8
4,1990/5,21.9,11.6,16.4,5.7,115.7,76.8,1.6
5,1990/6,26.0,17.5,21.2,7.3,387.8,82.6,1.3
6,1990/7,30.3,22.0,25.6,6.9,237.1,84.2,1.0
7,1990/8,31.7,21.3,25.8,4.6,189.9,81.2,1.0
8,1990/9,26.6,16.3,20.9,5.5,215.4,82.0,1.1
9,1990/10,21.3,7.6,13.4,3.0,3.6,75.9,1.0
10,1990/11,15.4,3.7,8.7,4.5,60.0,78.5,0.9
11,1990/12,6.0,-4.1,0.3,4.8,32.4,77.9,1.0
12,1991/1,2.7,-7.5,-2.9,4.0,15.5,77.9,0.8
13,1991/2,3.6,-6.0,-1.6,4.7,44.1,77.0,1.1
14,1991/3,9.9,-0.6,4.0,5.5,75.1,75.8,1.2
15,1991/4,19.8,4.3,11.5,3.0,51.6,68.3,1.0
16,1991/5,23.6,10.9,16.9,4.2,149.0,68.7,1.5
17,1991/6,28.4,17.3,22.3,5.7,73.1,77.8,1.1
18,1991/7,28.8,20.9,24.5,7.6,229.3,86.8,1.1
19,1991/8,30.0,19.7,24.4,4.4,94.3,80.9,1.3
20,1991/9,25.4,15.2,19.7,5.4,294.0,81.8,1.1
21,1991/10,19.9,5.8,12.2,2.4,18.7,75.1,1.1
22,1991/11,12.0,-0.6,5.1,3.7,11.8,76.6,1.0
23,1991/12,7.1,-3.0,1.5,5.7,47.5,80.7,1.1
24,1992/1,4.1,-4.8,-0.9,5.1,9.3,81.7,1.0
25,1992/2,5.5,-5.1,-0.2,3.6,16.2,76.9,1.3
26,1992/3,12.2,0.7,6.1,5.4,23.2,76.0,1.4
27,1992/4,18.5,4.7,11.2,4.1,77.4,74.4,1.6
28,1992/5,22.6,9.9,15.8,4.5,51.0,66.2,1.4
29,1992/6,26.3,14.2,20.0,5.1,46.0,64.0,1.2
30,1992/7,30.2,21.1,25.1,6.5,128.5,69.9,1.2
31,1992/8,29.5,20.4,24.5,5.9,331.5,71.9,1.4
32,1992/9,25.2,15.1,19.9,5.5,139.5,71.9,1.6
33,1992/10,19.7,7.3,12.8,4.6,18.0,71.7,1.5
34,1992/11,12.2,0.2,5.4,4.7,41.4,72.3,1.7
35,1992/12,6.2,-3.3,1.2,5.2,51.6,75.3,1.8
36,1993/1,2.8,-7.0,-2.5,5.5,3.2,71.9,1.5
37,1993/2,6.3,-4.3,0.6,4.2,68.6,67.7,2.3
38,1993/3,11.2,-1.3,4.4,4.2,29.8,62.9,1.7
39,1993/4,17.1,3.8,10.1,4.1,31.0,55.1,2.3
40,1993/5,24.4,11.1,17.3,5.1,59.0,56.4,1.7
41,1993/6,26.4,16.8,21.1,7.1,139.0,70.9,1.7
42,1993/7,28.0,19.2,23.2,7.9,323.5,69.6,1.9
43,1993/8,27.0,18.2,22.3,7.2,163.5,69.1,1.8
44,1993/9,26.7,14.1,20.0,4.8,122.5,64.3,1.4
45,1993/10,19.0,5.5,11.9,3.8,48.0,63.6,1.6
46,1993/11,12.7,3.3,7.7,6.9,66.9,68.3,2.1
47,1993/12,4.9,-4.6,-0.1,5.4,25.7,66.2,2.0
48,1994/1,3.7,-6.6,-1.7,4.8,9.1,64.6,1.6
49,1994/2,6.1,-5.5,-0.2,3.9,10.1,60.1,1.9
50,1994/3,9.1,-2.2,3.3,3.7,39.5,52.5,2.4
51,1994/4,22.0,6.0,13.6,4.1,13.5,42.6,2.1
52,1994/5,24.0,11.6,17.6,4.7,106.5,49.2,2.1
53,1994/6,28.5,16.2,22.1,5.6,160.5,67.5,1.8
54,1994/7,34.0,24.0,28.4,5.1,98.0,74.5,1.7
55,1994/8,32.1,22.5,27.0,4.7,418.0,68.4,1.8
56,1994/9,26.3,14.1,20.0,3.6,52.0,69.1,1.4
57,1994/10,20.8,8.6,14.1,4.1,220.0,64.2,1.6
58,1994/11,14.6,2.5,8.1,4.0,22.0,75.1,1.5
59,1994/12,6.3,-4.0,1.0,4.9,21.0,74.2,1.6
60,1995/1,2.9,-7.5,-2.6,3.2,19.0,63.1,1.6
61,1995/2,6.6,-6.3,-0.4,2.3,8.2,49.5,1.4
62,1995/3,11.4,0.3,5.4,5.0,25.3,65.7,2.0
63,1995/4,18.1,3.8,10.4,4.1,47.0,57.0,1.9
64,1995/5,23.2,9.6,16.4,4.8,48.0,58.2,1.8
