,년월,최고기온,최저기온,평균기온,평균운량,일강수량,상대습도,평균평속
0,1990/1,1.8,-7.4,-3.1,5.0,72.1,75.6,1.7
1,1990/2,7.0,-1.1,2.7,7.3,99.2,80.7,1.9
2,1990/3,13.2,1.8,7.0,4.6,60.2,71.9,2.2
3,1990/4,18.0,5.3,11.4,5.2,75.0,69.8,2.7
4,1990/5,22.6,12.0,16.9,6.3,76.5,76.0,2.3
5,1990/6,26.8,17.9,21.8,7.4,282.8,83.6,2.1
6,1990/7,30.5,22.6,26.1,7.1,264.0,86.3,2.0
7,1990/8,32.7,21.8,26.7,4.4,247.9,81.3,1.8
8,1990/9,27.3,16.8,21.5,5.7,189.1,82.1,1.9
9,1990/10,21.8,8.0,14.0,3.4,3.1,75.9,1.4
10,1990/11,15.8,4.0,9.1,4.6,68.1,80.2,1.7
11,1990/12,6.1,-4.8,0.1,4.5,35.7,78.3,1.8
12,1991/1,2.9,-7.2,-2.6,3.9,21.2,74.9,1.5
13,1991/2,4.1,-6.1,-1.3,4.4,47.3,76.2,1.9
14,1991/3,11.1,-0.1,5.0,5.1,57.5,71.7,2.1
15,1991/4,20.7,5.0,12.6,3.7,71.6,56.0,2.1
16,1991/5,24.2,11.3,17.6,4.3,88.5,56.5,2.3
17,1991/6,28.9,18.1,23.1,5.9,99.6,67.8,2.0
18,1991/7,28.9,21.3,24.8,7.7,357.3,78.9,2.1
19,1991/8,30.0,20.4,24.8,5.2,79.8,72.6,2.0
20,1991/9,25.8,15.8,20.2,5.3,213.0,76.2,1.7
21,1991/10,20.6,6.3,12.7,2.4,17.0,68.0,1.8
22,1991/11,12.6,-0.6,5.3,3.7,21.4,66.2,1.5
23,1991/12,7.7,-3.1,1.7,5.2,69.4,70.6,1.5
24,1992/1,4.8,-4.7,-0.5,4.9,13.5,67.4,1.7
25,1992/2,6.8,-5.3,0.2,3.4,16.3,61.8,1.9
26,1992/3,13.4,1.6,7.0,6.0,29.6,63.9,2.0
27,1992/4,19.7,5.4,12.1,4.3,110.1,60.0,2.5
28,1992/5,23.0,10.7,16.6,4.8,100.3,65.3,2.2
29,1992/6,27.1,15.3,21.1,5.5,28.7,66.2,1.9
30,1992/7,31.0,22.1,26.0,6.9,141.7,74.8,2.3
31,1992/8,29.9,21.1,25.2,6.2,263.9,75.5,2.0
32,1992/9,25.8,15.8,20.3,5.8,176.9,76.5,1.7
33,1992/10,20.3,7.7,13.1,4.4,27.4,74.5,1.6
34,1992/11,12.6,0.3,5.6,4.0,42.2,71.7,1.4
35,1992/12,6.4,-2.9,1.4,5.1,39.5,71.9,1.3
36,1993/1,3.2,-6.7,-2.1,4.1,7.3,66.5,1.5
37,1993/2,7.1,-4.1,1.0,4.0,75.4,61.5,2.1
38,1993/3,11.8,-0.4,5.2,4.0,33.1,60.9,1.9
39,1993/4,18.1,4.7,11.1,4.1,54.6,58.4,2.6
40,1993/5,24.8,12.1,18.1,4.8,127.2,64.2,2.0
41,1993/6,27.2,17.8,22.1,6.7,118.8,76.1,1.9
42,1993/7,28.4,19.8,23.8,7.6,254.0,77.0,1.8
43,1993/8,27.2,18.8,22.6,7.0,378.1,82.5,1.6
44,1993/9,27.1,15.0,20.4,4.0,126.6,74.7,1.4
45,1993/10,19.7,5.9,12.3,3.4,39.6,71.2,1.4
46,1993/11,12.8,4.4,8.0,6.6,66.9,76.7,1.7
47,1993/12,5.2,-4.6,-0.1,4.7,20.2,71.3,1.6
48,1994/1,4.3,-6.2,-1.5,3.7,13.3,67.8,1.3
49,1994/2,6.8,-4.9,0.4,3.6,12.8,64.1,1.7
50,1994/3,9.8,-1.4,3.9,3.9,54.2,63.1,2.2
51,1994/4,22.5,7.3,14.7,4.6,21.3,56.6,2.1
52,1994/5,24.2,12.4,18.2,5.0,108.8,61.8,2.4
53,1994/6,28.6,17.0,22.7,5.9,140.5,64.1,2.0
54,1994/7,34.5,24.5,29.1,4.9,85.5,68.6,2.0
55,1994/8,32.5,23.5,27.7,5.4,318.5,68.1,2.1
56,1994/9,26.3,14.8,20.0,4.2,48.1,66.9,1.6
57,1994/10,21.1,9.0,14.2,4.7,160.1,68.4,1.6
58,1994/11,15.3,3.3,8.6,3.9,29.6,66.2,1.5
59,1994/12,6.8,-3.6,1.2,4.6,19.3,65.1,1.5
60,1995/1,3.3,-7.2,-2.4,3.2,21.5,62.7,1.8
61,1995/2,7.6,-5.3,0.3,2.7,14.0,62.7,1.5
62,1995/3,12.1,0.9,5.9,5.9,34.4,63.7,2.4
63,1995/4,19.2,4.4,11.4,3.8,64.0,53.4,2.2
64,1995/5,23.7,10.6,17.0,4.8,70.7,57.8,2.0
65,1995/6,27.6,16.4,21.8,5.9,30.9,63.1,1.7
66,1995/7,30.2,21.9,25.6,7.3,204.9,71.0,2.1
67,1995/8,31.6,23.2,26.9,6.3,835.4,73.1,2.0
68,1995/9,25.1,14.5,19.3,5.8,17.5,69.8,1.7
69,1995/10,21.8,8.9,14.6,4.6,22.6,65.4,1.4
70,1995/11,13.0,-0.7,5.2,3.0,20.3,67.2,1.5
71,1995/12,4.0,-6.3,-1.5,3.8,3.6,70.5,1.4
72,1996/1,3.2,-6.7,-2.2,4.0,27.9,65.9,2.0
73,1996/2,4.3,-7.1,-1.8,3.2,4.2,60.1,2.2
74,1996/3,9.9,-0.1,4.5,5.4,98.4,62.8,2.4
75,1996/4,16.6,4.1,10.2,3.5,28.6,54.6,2.9
76,1996/5,25.0,11.9,18.1,4.6,36.8,59.9,2.5
77,1996/6,27.1,18.9,22.6,8.1,255.8,74.0,2.4
78,1996/7,30.5,21.8,25.6,6.2,170.5,72.9,2.6
79,1996/8,31.1,22.6,26.5,5.7,128.6,72.2,2.2
80,1996/9,27.2,15.2,20.7,4.6,11.2,75.6,1.5
81,1996/10,20.3,8.3,13.8,4.4,67.1,73.6,1.7
82,1996/11,11.1,1.8,6.3,5.3,77.2,73.6,2.0
83,1996/12,6.7,-4.6,0.6,3.4,22.5,73.6,1.7
84,1997/1,2.1,-8.0,-3.0,4.3,12.9,71.2,2.1
85,1997/2,6.7,-6.0,0.2,3.2,39.1,63.8,2.1
86,1997/3,13.3,0.5,6.6,3.6,31.6,60.9,2.4
87,1997/4,19.2,6.3,12.7,4.9,58.5,56.8,2.4
88,1997/5,23.5,12.5,17.8,6.1,179.1,66.1,2.7
89,1997/6,28.9,17.7,23.1,5.4,210.3,71.2,1.9
90,1997/7,30.2,22.0,25.8,6.9,425.5,81.5,2.0
91,1997/8,31.1,22.0,26.1,5.2,211.1,78.9,2.2
92,1997/9,25.5,14.6,19.7,4.2,55.5,74.7,2.3
93,1997/10,19.8,6.4,13.0,2.8,8.4,67.3,2.2
94,1997/11,14.3,3.3,8.4,4.9,180.3,72.2,1.8
95,1997/12,6.5,-2.6,1.7,4.2,44.3,71.3,1.9
96,1998/1,3.0,-5.4,-1.3,5.4,22.0,73.1,2.4
97,1998/2,8.8,-1.9,3.1,4.6,28.9,68.8,2.2
98,1998/3,13.9,1.0,7.2,4.5,30.9,60.2,2.2
99,1998/4,21.8,11.0,16.0,6.2,153.1,68.7,2.3
100,1998/5,24.7,13.2,18.9,5.7,92.8,64.4,2.0
101,1998/6,25.7,17.5,21.4,6.4,247.0,75.3,2.2
102,1998/7,29.0,22.1,25.3,6.9,253.0,76.9,3.0
103,1998/8,29.7,22.2,25.6,7.1,460.6,79.6,2.1
104,1998/9,28.0,17.8,22.5,4.7,225.9,72.9,1.8
105,1998/10,21.9,11.3,16.2,4.6,74.2,72.6,1.5
106,1998/11,13.4,1.9,7.0,3.4,44.7,64.6,1.5
107,1998/12,7.6,-3.3,1.5,2.8,7.1,62.5,1.1
108,1999/1,4.9,-5.3,-0.6,3.7,1.6,59.3,1.7
109,1999/2,6.5,-4.2,1.0,3.9,3.6,59.0,2.1
110,1999/3,12.6,0.5,6.6,5.5,54.1,55.0,2.0
111,1999/4,20.5,7.4,14.0,4.1,91.4,56.6,2.2
112,1999/5,23.8,11.6,17.7,3.9,102.4,59.9,2.2
113,1999/6,28.5,17.8,23.0,4.9,191.1,62.9,1.9
114,1999/7,29.6,21.6,25.5,6.6,122.4,66.9,2.5
115,1999/8,30.1,22.1,25.8,6.6,197.4,68.6,2.0
116,1999/9,27.4,19.2,22.9,6.6,281.3,71.5,1.7
117,1999/10,19.7,8.5,13.7,5.1,252.4,70.0,1.1
118,1999/11,13.2,2.4,7.3,4.3,15.4,71.7,0.9
119,1999/12,5.3,-4.5,0.1,3.5,13.4,73.3,0.8
120,2000/1,2.9,-5.1,-1.2,5.1,38.7,70.0,1.5
121,2000/2,3.4,-6.3,-1.7,3.8,1.3,57.3,1.6
122,2000/3,12.3,-0.2,5.7,3.6,10.4,52.8,1.6
123,2000/4,17.8,5.5,11.5,4.5,56.1,49.0,1.5
124,2000/5,23.0,12.1,17.2,5.3,42.1,61.8,1.7
