,년월,최고기온,최저기온,평균기온,평균운량,일강수량,상대습도,평균평속
0,1990/1,7.2,-1.4,2.4,3.9,50.4,52.7,4.0
1,1990/2,11.0,4.8,7.4,7.4,122.3,70.4,4.5
2,1990/3,14.9,6.5,10.0,4.5,75.4,60.3,4.5
3,1990/4,17.3,9.5,13.1,5.0,159.7,65.4,4.7
4,1990/5,21.1,14.2,17.2,5.8,131.1,75.6,4.4
5,1990/6,24.3,18.7,21.2,7.0,219.9,83.1,4.1
6,1990/7,28.5,23.3,25.4,6.1,155.0,85.4,4.2
7,1990/8,32.1,25.2,28.3,3.6,48.3,77.6,3.6
8,1990/9,26.4,20.1,22.7,6.5,211.9,79.4,4.5
9,1990/10,22.7,14.5,18.0,4.3,40.9,68.7,3.3
10,1990/11,18.9,10.2,13.9,3.3,54.5,67.0,3.6
11,1990/12,10.9,2.1,5.9,2.2,1.5,55.3,4.2
12,1991/1,7.9,-0.2,3.2,3.4,37.9,53.6,3.9
13,1991/2,8.0,-0.1,3.4,4.2,47.2,51.7,3.9
14,1991/3,12.8,4.8,8.3,5.4,97.6,63.9,4.7
15,1991/4,17.8,9.5,13.3,5.0,65.8,65.6,3.9
16,1991/5,21.0,13.6,16.8,5.3,110.3,67.6,4.1
17,1991/6,24.9,18.9,21.3,7.4,307.2,83.5,3.6
18,1991/7,26.7,21.9,23.9,7.5,590.3,87.7,4.8
19,1991/8,27.2,21.4,23.7,6.4,699.8,82.0,4.7
20,1991/9,26.6,19.8,22.6,5.7,124.3,75.6,3.9
21,1991/10,22.3,13.5,17.1,3.4,2.7,59.4,3.6
22,1991/11,16.3,7.1,11.2,2.6,16.7,53.5,3.3
23,1991/12,12.1,4.1,7.6,4.3,67.3,59.6,3.6
24,1992/1,9.7,1.5,5.0,3.5,26.0,52.3,3.8
25,1992/2,10.0,1.1,5.0,3.1,58.9,51.4,3.8
26,1992/3,13.4,6.3,9.3,6.9,89.4,65.3,4.2
27,1992/4,18.2,10.2,14.0,4.7,217.4,62.4,4.7
28,1992/5,20.8,13.4,16.9,5.4,139.9,68.0,4.2
29,1992/6,23.5,16.8,19.9,5.4,50.0,74.5,3.6
30,1992/7,27.6,22.2,24.4,6.0,99.2,84.2,4.8
31,1992/8,27.9,22.6,24.8,7.2,361.3,83.0,4.1
32,1992/9,26.1,20.0,22.7,5.9,174.3,74.1,4.1
33,1992/10,21.4,13.3,16.9,3.7,27.6,63.7,3.5
34,1992/11,15.8,6.9,11.2,3.0,21.8,57.9,3.6
35,1992/12,10.9,3.3,7.0,3.4,43.1,51.1,3.4
36,1993/1,7.7,0.0,3.4,3.8,43.1,51.5,4.1
37,1993/2,10.9,1.6,5.9,3.1,84.9,48.9,4.4
38,1993/3,13.0,4.3,8.2,4.6,73.9,59.5,3.8
39,1993/4,18.3,9.1,13.4,4.0,39.3,56.9,4.7
40,1993/5,21.1,13.8,17.2,5.5,161.2,74.4,3.5
41,1993/6,23.5,17.9,20.2,7.0,160.6,85.5,3.4
42,1993/7,24.9,19.6,21.8,7.9,252.4,87.5,3.9
43,1993/8,25.9,20.7,22.8,7.2,630.3,88.2,3.3
44,1993/9,25.5,18.7,21.7,5.4,44.8,73.2,3.3
45,1993/10,21.4,13.0,16.5,3.7,48.6,62.7,3.8
46,1993/11,16.4,8.8,12.2,4.8,57.3,67.5,3.9
47,1993/12,9.9,1.1,5.1,2.3,18.9,53.1,3.6
48,1994/1,8.9,0.2,3.9,3.4,42.0,50.2,3.2
49,1994/2,10.5,1.5,5.2,3.5,44.4,49.4,3.8
50,1994/3,12.3,3.5,7.4,4.3,31.5,52.4,4.0
51,1994/4,19.5,11.2,15.0,5.8,123.5,64.4,4.1
52,1994/5,21.7,14.5,18.0,4.8,258.9,69.7,4.1
53,1994/6,24.3,17.4,20.5,6.6,86.4,76.3,3.9
54,1994/7,31.4,25.2,27.9,3.2,134.9,79.1,4.1
55,1994/8,31.6,25.5,28.1,3.7,34.5,77.2,4.5
56,1994/9,27.7,19.8,23.1,3.4,60.4,65.1,3.7
57,1994/10,22.6,14.1,17.9,3.8,90.7,66.9,4.1
58,1994/11,18.6,10.3,13.8,3.2,46.3,61.6,3.5
59,1994/12,11.3,3.0,6.9,3.6,6.4,50.2,3.8
60,1995/1,7.5,-1.2,2.9,2.2,35.8,46.7,3.7
61,1995/2,10.8,1.7,5.6,3.8,17.1,56.0,3.6
62,1995/3,14.0,5.2,9.0,4.8,88.0,63.0,4.5
63,1995/4,18.3,9.4,13.3,4.5,124.0,60.7,4.4
64,1995/5,21.4,13.3,17.0,4.5,141.6,68.2,4.0
65,1995/6,24.0,17.2,20.0,6.3,137.4,80.1,3.7
66,1995/7,27.3,21.9,24.1,7.5,254.5,88.5,4.7
67,1995/8,31.0,24.6,27.3,4.7,107.9,81.8,4.5
68,1995/9,25.4,18.5,21.4,6.1,53.1,68.3,3.7
69,1995/10,23.2,14.2,18.0,4.1,41.3,63.8,3.4
