,년월,최고기온,최저기온,평균기온,평균운량,일강수량,상대습도,평균평속
0,1990/1,4.6,-4.3,-0.4,3.8,22.3,56.0,3.2
1,1990/2,9.1,2.1,5.2,7.3,85.5,70.0,2.9
2,1990/3,14.7,4.0,9.0,4.4,45.3,58.4,3.3
3,1990/4,19.0,7.6,13.1,5.3,90.5,58.2,3.5
4,1990/5,24.2,13.1,18.3,5.6,143.1,64.7,3.3
5,1990/6,28.0,18.6,23.1,6.8,208.5,69.6,3.2
6,1990/7,31.7,23.2,27.0,6.4,251.3,74.6,2.9
7,1990/8,33.9,23.6,28.1,4.4,136.7,69.4,2.7
8,1990/9,26.9,18.1,22.0,6.4,197.0,74.4,2.7
9,1990/10,22.5,10.5,15.8,3.8,13.9,68.3,2.1
10,1990/11,17.6,6.1,11.4,3.9,43.5,68.8,2.5
11,1990/12,9.0,-1.7,3.0,3.3,2.1,60.7,3.3
12,1991/1,5.7,-3.5,0.6,3.5,20.6,58.3,3.2
13,1991/2,6.2,-2.9,1.2,4.1,44.4,59.0,3.2
14,1991/3,12.4,2.2,7.0,5.7,79.3,62.0,3.5
15,1991/4,20.9,7.3,13.8,4.2,93.2,56.0,3.1
16,1991/5,24.5,12.6,18.3,4.7,21.9,54.5,3.7
17,1991/6,29.2,19.6,24.2,6.4,104.7,64.7,3.1
18,1991/7,29.3,22.2,25.3,8.0,425.3,75.3,2.8
19,1991/8,28.3,20.8,24.2,6.3,282.5,73.6,3.3
20,1991/9,26.3,17.3,21.5,6.0,154.1,73.2,2.4
21,1991/10,22.0,9.6,15.4,2.7,1.3,61.2,2.5
22,1991/11,14.6,2.5,8.1,2.8,13.4,58.6,2.3
23,1991/12,9.8,0.4,4.6,4.6,55.5,63.6,2.5
24,1992/1,7.5,-1.7,2.3,3.9,11.1,60.0,2.9
25,1992/2,8.7,-1.9,2.9,2.9,13.3,55.0,3.1
26,1992/3,13.6,3.8,8.3,6.4,57.1,64.6,2.8
27,1992/4,20.7,8.3,14.2,4.1,124.3,58.3,3.3
28,1992/5,24.1,11.8,17.6,4.6,55.4,62.2,3.4
29,1992/6,28.6,16.8,22.3,5.5,11.7,62.6,2.9
30,1992/7,33.2,22.8,27.5,5.4,186.1,70.5,3.0
31,1992/8,29.0,22.0,25.1,7.6,169.5,76.5,2.9
32,1992/9,26.6,17.9,21.7,6.0,131.5,75.9,2.5
33,1992/10,21.1,9.9,14.9,4.1,18.8,72.6,2.3
34,1992/11,14.7,3.1,8.2,2.8,13.4,68.1,2.5
35,1992/12,8.6,-0.1,3.9,3.9,19.5,65.5,2.8
36,1993/1,5.2,-3.2,0.6,4.1,34.8,62.1,2.9
37,1993/2,9.7,-0.9,3.8,3.1,43.7,55.9,3.7
38,1993/3,13.4,1.9,7.3,4.3,53.4,62.9,2.8
39,1993/4,20.5,7.4,13.8,3.6,19.1,57.4,3.7
40,1993/5,25.3,12.6,18.4,5.1,127.6,69.3,2.8
41,1993/6,28.0,18.7,22.9,7.0,208.4,76.1,2.8
42,1993/7,27.1,19.3,22.9,7.7,208.5,78.0,3.2
43,1993/8,27.0,19.8,22.9,7.4,309.1,79.6,2.5
44,1993/9,26.5,16.7,21.1,5.2,77.1,72.3,2.3
45,1993/10,21.0,9.3,14.7,3.4,37.7,64.3,2.6
46,1993/11,14.5,5.7,9.7,5.5,48.8,69.2,2.5
47,1993/12,8.0,-2.2,2.3,3.5,13.5,58.9,3.1
48,1994/1,6.7,-3.5,0.9,3.2,25.9,58.4,2.8
49,1994/2,9.1,-1.4,3.2,3.4,24.5,55.2,3.2
50,1994/3,12.1,1.4,6.2,4.2,26.5,51.9,3.5
51,1994/4,22.4,9.6,15.7,5.3,29.5,54.0,3.2
52,1994/5,25.3,13.5,19.3,4.8,87.8,57.7,3.3
53,1994/6,28.9,17.7,23.1,6.4,83.5,62.8,3.0
54,1994/7,36.0,25.4,30.2,4.2,67.4,65.1,3.0
55,1994/8,34.5,24.6,29.1,4.8,72.3,64.6,3.1
56,1994/9,29.4,17.2,22.8,3.8,38.2,57.8,2.6
57,1994/10,22.9,11.0,16.4,4.1,84.4,62.2,2.7
58,1994/11,17.5,5.9,11.1,3.5,22.0,58.3,2.4
59,1994/12,9.4,-0.6,3.9,3.3,5.5,54.4,3.0
60,1995/1,6.0,-3.8,0.4,2.3,24.1,48.6,3.2
61,1995/2,10.1,-1.6,3.5,3.0,15.5,52.6,2.2
62,1995/3,14.2,3.0,8.0,4.9,42.4,56.2,2.8
63,1995/4,21.2,7.5,13.9,4.0,70.6,46.2,2.2
64,1995/5,24.9,12.0,18.2,4.4,60.7,53.5,2.1
65,1995/6,27.2,16.5,21.2,6.4,68.7,61.1,3.2
66,1995/7,31.2,23.0,26.7,7.1,123.7,70.5,2.8
67,1995/8,34.0,24.3,28.6,5.5,261.0,74.8,2.7
68,1995/9,25.6,15.9,20.4,5.9,22.3,74.8,2.4
69,1995/10,22.9,10.7,16.3,3.8,34.6,71.1,2.1
70,1995/11,15.1,2.0,8.0,1.8,4.5,62.1,2.8
71,1995/12,7.5,-2.9,1.7,2.5,0.7,59.5,3.0
72,1996/1,6.2,-3.6,0.8,3.6,18.7,51.8,3.2
73,1996/2,7.3,-3.3,1.5,3.9,1.3,47.6,3.1
74,1996/3,11.7,1.9,6.4,5.7,110.9,53.0,3.2
75,1996/4,18.9,6.9,12.9,3.6,58.3,43.6,3.2
76,1996/5,26.1,13.1,19.3,4.8,49.2,56.6,2.8
77,1996/6,27.0,18.5,22.4,7.5,313.2,71.2,2.8
78,1996/7,30.2,21.6,25.3,6.1,120.1,69.8,3.0
79,1996/8,32.3,22.9,26.9,5.3,82.5,67.3,3.0
80,1996/9,28.0,16.7,21.8,4.7,37.6,67.6,2.2
81,1996/10,22.6,10.5,16.0,4.3,30.2,63.0,2.2
82,1996/11,13.5,4.3,8.6,5.0,48.4,63.8,2.5
83,1996/12,9.3,-2.3,2.8,2.2,18.1,59.6,2.3
84,1997/1,5.7,-4.2,0.3,3.1,5.3,53.2,3.3
85,1997/2,9.9,-2.2,3.4,3.0,12.3,53.3,2.9
86,1997/3,15.1,3.4,8.8,4.0,25.0,53.9,2.7
87,1997/4,21.0,8.6,14.4,4.6,50.1,54.4,2.1
88,1997/5,25.9,13.9,19.6,5.8,97.2,60.9,2.1
89,1997/6,30.2,18.6,24.0,5.6,195.4,62.2,1.6
90,1997/7,30.7,22.2,26.1,6.9,317.9,70.7,1.9
91,1997/8,30.9,22.7,26.3,6.1,222.9,70.0,2.0
92,1997/9,27.1,16.6,21.4,5.0,17.0,62.2,1.9
93,1997/10,22.9,9.8,15.9,2.2,2.4,54.0,2.0
94,1997/11,15.9,5.8,10.5,4.8,136.3,64.8,1.9
95,1997/12,8.3,-0.4,3.6,4.1,40.4,60.5,2.4
96,1998/1,5.6,-2.8,1.1,4.8,35.9,57.6,2.7
97,1998/2,10.6,1.0,5.4,5.1,26.2,57.9,2.7
98,1998/3,15.2,4.3,9.4,4.7,29.1,49.3,3.1
99,1998/4,21.7,11.7,16.2,6.3,121.3,65.1,2.8
100,1998/5,25.4,14.6,19.9,5.6,94.6,58.7,2.6
101,1998/6,24.8,17.6,21.0,7.2,199.0,71.2,2.9
102,1998/7,28.6,22.3,25.2,8.2,160.9,72.0,3.1
103,1998/8,30.1,23.0,26.1,7.6,347.9,73.6,2.2
104,1998/9,28.0,19.2,23.1,5.7,297.5,68.0,2.1
105,1998/10,23.1,13.6,18.0,4.7,53.6,65.1,2.2
106,1998/11,15.0,4.2,9.1,2.7,15.8,57.2,2.3
107,1998/12,10.2,-0.1,4.6,2.1,0.0,51.9,2.4
108,1999/1,6.8,-2.8,1.6,2.2,7.5,52.7,3.0
109,1999/2,8.2,-1.3,3.4,2.9,25.5,49.2,3.2
110,1999/3,13.6,3.2,8.2,5.8,88.0,54.4,2.5
