,년월,최고기온,최저기온,평균기온,평균운량,일강수량,상대습도,평균평속
0,1990/1,0.2,-6.1,-2.9,4.7,74.7,62.6,3.4
1,1990/2,5.4,-0.8,2.2,6.5,49.7,74.5,3.0
2,1990/3,10.2,3.5,6.6,5.1,56.6,69.5,3.6
3,1990/4,14.6,7.0,10.2,4.8,93.8,69.0,4.4
4,1990/5,19.1,12.0,14.9,6.8,100.0,79.2,3.7
5,1990/6,23.0,17.0,19.6,7.8,438.7,84.7,2.9
6,1990/7,27.2,21.8,24.0,7.8,367.9,87.3,2.9
7,1990/8,29.6,22.8,25.7,5.0,230.6,82.0,2.2
8,1990/9,25.2,17.0,20.8,5.6,528.7,76.7,2.1
9,1990/10,20.6,10.9,15.2,2.4,2.2,68.4,1.8
10,1990/11,14.0,6.2,10.1,5.0,53.8,71.5,2.9
11,1990/12,4.9,-2.3,1.2,4.2,13.1,65.0,3.8
12,1991/1,1.4,-5.8,-2.3,2.8,17.8,61.2,2.8
13,1991/2,2.9,-4.2,-0.7,3.9,26.3,61.0,3.6
14,1991/3,8.3,0.7,4.0,4.9,49.5,65.7,3.4
15,1991/4,17.2,7.5,11.6,3.7,43.7,61.0,3.2
16,1991/5,20.8,12.5,16.2,5.0,71.6,65.1,3.4
17,1991/6,25.2,17.5,20.9,6.4,76.7,76.0,2.8
18,1991/7,26.8,21.2,23.6,7.9,406.1,85.5,3.0
19,1991/8,28.7,21.3,24.7,4.7,81.7,73.9,2.2
20,1991/9,24.9,17.1,20.8,4.7,195.2,73.2,2.1
21,1991/10,19.2,9.6,14.1,2.3,32.0,62.0,2.6
22,1991/11,10.8,2.6,6.6,3.2,27.6,60.3,3.0
23,1991/12,5.9,-1.1,2.1,5.4,44.4,65.2,3.1
24,1992/1,3.3,-3.4,-0.3,3.5,9.0,64.4,3.1
25,1992/2,4.7,-2.9,0.7,3.0,38.8,58.2,3.9
26,1992/3,11.2,2.9,6.4,5.3,10.7,67.1,3.1
27,1992/4,15.8,6.9,10.9,4.1,51.2,70.1,3.8
28,1992/5,19.7,11.4,15.1,4.5,118.0,70.4,3.3
29,1992/6,23.8,15.7,19.4,5.2,90.8,75.6,2.9
30,1992/7,27.0,21.5,23.7,7.8,124.7,86.7,3.4
31,1992/8,28.6,21.2,24.3,6.0,278.2,81.6,2.1
32,1992/9,24.7,16.9,20.5,5.2,192.5,77.1,2.5
33,1992/10,18.9,10.0,14.0,3.9,30.9,71.7,2.2
34,1992/11,11.1,2.7,6.6,3.9,58.9,66.0,3.3
35,1992/12,5.2,-1.8,1.6,4.3,56.3,63.5,3.2
36,1993/1,1.5,-5.4,-2.1,4.0,3.8,61.6,3.1
37,1993/2,4.6,-2.8,0.6,3.6,57.1,62.8,4.1
38,1993/3,9.2,1.8,4.9,4.0,22.5,67.9,3.3
39,1993/4,13.5,6.0,9.1,4.5,85.7,70.9,4.1
40,1993/5,21.4,12.8,16.6,4.9,103.4,68.8,2.9
41,1993/6,24.0,16.9,19.8,6.3,134.5,79.1,2.6
42,1993/7,26.5,19.4,22.7,6.8,451.0,78.2,2.3
43,1993/8,26.5,20.0,22.9,6.8,140.3,78.9,2.3
44,1993/9,25.5,17.2,20.9,3.9,65.4,68.9,2.3
45,1993/10,18.7,8.7,13.5,3.0,14.5,60.5,2.5
46,1993/11,12.1,5.5,8.5,5.9,80.8,69.1,3.2
47,1993/12,3.7,-3.1,0.2,3.4,11.4,60.7,3.5
48,1994/1,2.8,-4.5,-1.0,3.7,5.5,57.4,3.1
49,1994/2,4.8,-3.4,0.2,3.2,6.6,56.5,3.3
50,1994/3,7.6,0.1,3.4,3.6,33.7,62.8,4.3
51,1994/4,18.9,9.2,13.4,4.4,42.4,58.1,3.2
52,1994/5,21.5,12.7,16.5,5.4,158.5,71.1,3.4
53,1994/6,26.0,17.1,21.0,5.3,62.8,72.4,2.5
54,1994/7,31.0,24.4,27.2,5.8,93.2,76.7,2.6
55,1994/8,31.1,24.0,27.2,5.7,271.8,76.5,2.6
56,1994/9,25.7,16.7,21.0,3.2,75.2,73.6,2.2
57,1994/10,20.1,11.6,15.4,3.9,246.6,76.3,2.6
58,1994/11,13.1,5.5,9.2,4.3,40.8,65.9,2.9
59,1994/12,4.8,-2.2,1.3,4.1,15.4,62.2,3.3
60,1995/1,1.7,-5.1,-1.7,3.0,14.2,54.7,3.7
61,1995/2,5.2,-2.7,0.9,2.4,2.3,60.2,3.1
62,1995/3,9.3,2.0,5.1,5.2,49.1,68.2,3.9
63,1995/4,14.8,6.2,9.6,3.8,35.7,68.7,4.1
64,1995/5,20.1,11.9,15.6,5.0,43.6,73.6,3.6
65,1995/6,25.0,17.1,20.3,6.4,83.4,77.2,2.2
66,1995/7,27.1,21.1,23.6,7.2,367.8,86.3,3.0
67,1995/8,29.1,23.4,25.7,7.1,621.4,88.1,2.6
68,1995/9,24.6,16.2,20.0,4.9,57.2,72.7,2.1
69,1995/10,20.4,11.0,15.4,4.1,27.0,69.8,2.2
70,1995/11,11.4,2.7,6.7,2.8,23.2,61.6,3.3
71,1995/12,3.2,-3.8,-0.7,2.6,1.3,55.4,3.1
72,1996/1,2.0,-5.5,-2.2,3.2,11.1,49.9,3.2
73,1996/2,2.4,-5.2,-1.7,3.5,0.7,54.1,3.8
74,1996/3,8.4,0.7,4.1,5.3,85.4,63.5,3.8
75,1996/4,13.1,5.3,8.9,3.7,64.0,61.5,3.9
76,1996/5,21.6,11.8,16.1,4.0,19.9,68.9,2.8
77,1996/6,25.0,17.7,20.7,8.0,236.8,81.6,2.3
78,1996/7,27.7,20.5,23.6,7.2,276.1,79.7,2.3
79,1996/8,30.1,22.4,25.4,6.0,69.6,77.6,1.6
