,년월,최고기온,최저기온,평균기온,평균운량,일강수량,상대습도,평균평속
0,1990/1,4.7,-3.3,0.3,5.7,51.7,69.1,2.6
1,1990/2,9.6,1.2,4.9,7.1,104.7,73.4,2.3
2,1990/3,13.7,3.4,8.2,4.8,57.3,70.6,2.4
3,1990/4,17.9,6.9,12.2,5.1,83.7,64.8,2.8
4,1990/5,22.6,12.7,17.3,6.2,100.1,70.9,2.5
5,1990/6,27.0,18.8,22.6,7.3,344.8,76.2,2.5
6,1990/7,30.9,23.6,26.6,7.0,192.7,81.0,2.3
7,1990/8,33.0,23.4,27.6,5.0,284.9,76.0,1.8
8,1990/9,27.5,18.7,22.5,6.4,141.2,78.7,1.9
9,1990/10,22.3,11.1,15.9,4.0,25.7,69.9,1.6
10,1990/11,17.4,6.9,11.6,4.4,62.3,76.1,1.7
11,1990/12,8.8,0.0,3.7,5.5,35.1,73.4,2.4
12,1991/1,5.9,-2.1,1.4,5.4,28.7,68.3,2.2
13,1991/2,6.0,-2.6,1.4,5.6,45.1,71.0,2.5
14,1991/3,12.8,2.7,7.1,5.7,100.2,70.8,2.3
15,1991/4,20.5,7.5,13.5,4.4,171.4,61.8,2.2
16,1991/5,23.6,12.8,18.0,5.4,29.7,64.6,2.5
17,1991/6,27.5,19.0,22.8,7.0,213.8,75.5,1.9
18,1991/7,28.9,22.8,25.3,8.4,461.3,84.4,2.2
19,1991/8,29.7,22.0,25.3,6.2,154.4,79.6,1.8
20,1991/9,27.0,18.3,22.2,6.1,185.9,75.7,1.6
21,1991/10,21.5,9.6,15.0,2.4,3.2,65.1,1.9
22,1991/11,14.5,3.5,8.4,3.5,33.8,63.5,1.8
23,1991/12,9.6,0.3,4.4,5.4,53.0,71.5,1.8
24,1992/1,6.9,-1.4,2.2,5.8,15.4,73.2,2.3
25,1992/2,7.8,-2.3,2.4,3.8,25.1,67.9,2.7
26,1992/3,13.9,3.5,8.0,6.7,67.2,71.3,2.3
27,1992/4,19.6,6.7,12.8,4.7,68.1,64.0,3.0
28,1992/5,23.4,11.4,17.0,4.8,110.5,67.9,2.8
29,1992/6,26.9,16.4,21.3,5.9,48.5,68.1,2.7
30,1992/7,30.2,22.4,25.8,7.1,233.4,77.6,3.3
31,1992/8,30.4,22.6,26.1,6.8,232.0,75.5,2.6
32,1992/9,26.1,17.4,21.5,6.3,183.8,74.3,2.5
33,1992/10,20.5,9.6,14.6,4.3,26.2,71.9,1.6
34,1992/11,14.0,3.0,7.8,3.9,29.7,72.3,1.7
35,1992/12,9.0,0.3,4.3,5.4,58.2,73.1,2.0
36,1993/1,4.5,-3.1,0.4,6.2,25.2,63.5,1.9
37,1993/2,8.3,-1.7,2.8,4.4,66.6,65.8,2.5
38,1993/3,12.8,1.5,6.4,4.4,81.3,66.8,2.1
39,1993/4,18.9,6.3,11.9,4.5,24.6,60.4,2.6
40,1993/5,24.1,12.8,18.1,5.6,114.0,66.8,2.4
41,1993/6,27.2,18.2,22.1,7.0,130.9,77.1,2.7
42,1993/7,27.8,20.9,23.9,7.7,300.1,80.4,2.4
43,1993/8,27.2,20.2,23.4,7.2,423.3,82.7,2.1
44,1993/9,26.1,16.9,21.4,5.1,35.4,74.4,1.7
45,1993/10,20.5,9.1,14.4,3.7,58.6,67.0,2.0
46,1993/11,15.6,5.6,10.1,6.9,79.4,76.0,2.1
47,1993/12,7.8,-1.6,2.7,4.9,32.7,68.7,2.1
48,1994/1,6.4,-3.3,1.1,4.4,30.7,64.9,2.0
49,1994/2,8.1,-1.8,2.5,4.7,32.4,63.2,1.7
50,1994/3,10.9,-0.1,5.0,4.7,35.7,63.6,1.8
51,1994/4,22.0,9.2,15.1,5.5,43.3,64.0,2.1
52,1994/5,24.3,13.0,18.4,5.1,86.6,68.0,2.7
53,1994/6,28.4,17.8,22.4,6.7,65.8,70.8,2.0
54,1994/7,34.9,25.4,29.3,4.3,78.8,71.5,2.5
55,1994/8,32.9,24.3,28.1,5.0,224.6,72.6,2.7
56,1994/9,27.6,16.8,21.9,3.0,39.0,64.8,1.7
57,1994/10,21.9,10.8,16.1,4.1,82.4,68.7,1.5
58,1994/11,17.2,6.1,11.2,4.1,32.5,65.1,1.4
59,1994/12,9.2,0.1,4.3,5.5,24.6,65.3,1.5
60,1995/1,4.9,-3.5,0.5,4.7,42.3,67.5,1.9
61,1995/2,8.8,-2.4,2.5,3.5,34.9,62.3,1.7
62,1995/3,13.2,2.6,7.4,5.9,28.1,61.9,2.2
63,1995/4,18.5,5.9,11.9,4.9,111.7,59.0,1.8
64,1995/5,23.0,11.5,17.2,4.5,75.5,62.3,2.0
65,1995/6,26.9,17.6,21.8,6.0,96.4,71.3,2.2
66,1995/7,29.0,22.7,25.4,7.0,110.0,80.2,3.3
67,1995/8,31.8,24.3,27.4,5.8,151.4,78.3,3.2
68,1995/9,25.6,16.9,20.9,6.0,40.5,72.1,2.1
69,1995/10,22.8,11.0,16.3,4.2,17.2,66.7,1.7
70,1995/11,14.2,2.5,7.8,3.3,35.1,65.2,1.8
71,1995/12,6.1,-2.6,1.3,4.4,21.3,73.0,1.6
72,1996/1,6.2,-3.0,1.0,4.8,32.9,65.9,2.2
73,1996/2,6.0,-4.0,0.4,4.1,11.8,63.1,2.0
74,1996/3,11.0,1.4,5.7,5.7,127.4,64.1,2.4
75,1996/4,16.8,4.9,10.4,4.0,38.4,55.1,2.4
76,1996/5,24.4,12.3,17.9,4.0,37.4,63.4,2.3
77,1996/6,26.2,18.9,22.0,7.4,302.9,80.9,2.7
78,1996/7,29.8,22.4,25.6,6.3,186.3,77.6,3.0
79,1996/8,31.2,23.0,26.6,5.0,261.7,76.0,1.8
80,1996/9,27.6,17.1,21.8,4.6,66.1,69.7,1.7
81,1996/10,21.6,10.6,15.8,4.5,60.7,67.9,1.8
82,1996/11,13.4,4.7,8.8,5.7,112.4,68.9,2.0
83,1996/12,9.0,-1.8,2.9,3.6,30.8,72.5,1.5
84,1997/1,4.9,-4.3,-0.3,4.1,19.3,66.6,1.9
85,1997/2,8.8,-2.3,2.7,4.0,43.6,60.6,2.1
86,1997/3,14.0,2.7,7.9,4.0,68.3,61.8,2.1
87,1997/4,19.9,7.4,13.3,3.8,82.1,60.1,2.0
