,년월,최고기온,최저기온,평균기온,평균운량,일강수량,상대습도,평균평속
0,1990/1,2.6,-5.9,-1.9,4.7,73.4,56.1,1.2
1,1990/2,7.1,-0.3,3.2,7.4,111.1,69.5,1.5
2,1990/3,12.9,2.8,7.5,4.8,58.9,61.3,2.2
3,1990/4,17.5,6.3,11.7,5.2,88.4,62.4,2.6
4,1990/5,22.2,12.4,16.9,6.2,113.4,70.3,2.4
5,1990/6,26.7,18.1,22.0,7.3,277.8,75.1,2.0
6,1990/7,30.6,23.0,26.4,7.2,334.6,79.0,1.7
7,1990/8,32.3,22.7,27.1,5.0,215.0,72.9,1.5
8,1990/9,26.5,17.5,21.6,6.4,151.6,76.1,1.6
9,1990/10,21.4,9.1,14.6,3.7,4.2,68.8,1.1
10,1990/11,15.7,5.1,10.0,4.4,48.8,74.5,1.3
11,1990/12,6.8,-2.6,1.6,4.9,19.2,69.2,1.7
12,1991/1,3.6,-5.7,-1.5,4.2,23.2,63.1,1.2
13,1991/2,4.3,-4.9,-0.5,5.1,56.9,63.8,1.6
14,1991/3,11.2,0.7,5.3,5.8,89.4,64.4,1.8
15,1991/4,20.4,6.3,13.1,4.4,69.4,56.1,1.9
16,1991/5,23.9,11.8,17.9,4.9,50.2,60.6,2.3
17,1991/6,28.3,18.3,23.1,7.0,169.0,75.3,1.7
18,1991/7,28.8,21.9,25.1,8.2,275.0,81.5,2.0
19,1991/8,29.4,20.5,24.8,5.2,139.0,76.0,2.0
20,1991/9,25.8,16.5,20.8,6.3,218.3,76.7,1.4
21,1991/10,20.6,7.3,13.6,2.8,16.1,67.3,1.4
22,1991/11,13.2,0.6,6.4,3.2,18.6,64.5,1.2
23,1991/12,8.4,-1.8,2.8,4.9,57.0,68.8,1.3
24,1992/1,5.5,-3.6,0.5,5.0,12.6,65.4,1.3
25,1992/2,7.0,-4.0,1.1,3.3,27.0,57.8,1.6
26,1992/3,13.3,2.2,7.4,5.9,46.5,62.1,1.8
27,1992/4,19.6,6.3,12.5,4.4,119.9,59.7,2.2
28,1992/5,23.0,11.2,16.9,4.8,92.3,67.6,2.3
29,1992/6,26.9,15.6,21.3,5.0,24.4,70.8,1.9
30,1992/7,30.9,22.3,26.2,6.3,187.7,75.0,2.3
31,1992/8,29.7,21.7,25.3,6.6,232.1,76.2,1.8
32,1992/9,25.6,16.0,20.4,5.4,163.6,76.9,1.4
33,1992/10,20.0,8.3,13.5,4.4,34.2,75.2,1.3
34,1992/11,13.1,1.4,6.4,4.0,47.4,73.3,1.4
35,1992/12,7.3,-2.2,2.2,4.9,49.2,73.7,1.3
36,1993/1,3.8,-5.7,-1.2,4.9,8.0,68.6,1.3
37,1993/2,7.5,-3.0,1.8,3.8,82.9,63.9,2.3
