,년월,최고기온,최저기온,평균기온,평균운량,일강수량,상대습도,평균평속
0,1990/1,6.3,-3.3,1.0,3.6,54.3,50.5,2.7
1,1990/2,9.6,3.2,6.2,7.0,128.1,67.5,2.2
2,1990/3,14.5,4.4,9.2,4.5,53.6,57.6,2.6
3,1990/4,18.1,7.9,13.0,5.0,138.6,58.7,2.7
4,1990/5,23.3,13.0,18.0,5.6,104.5,66.8,2.3
5,1990/6,26.7,18.3,22.3,6.2,294.9,73.8,2.0
6,1990/7,30.6,23.3,26.5,5.8,195.1,78.0,1.9
7,1990/8,32.7,23.8,27.8,3.4,58.4,73.3,1.7
8,1990/9,25.9,19.1,22.2,6.6,132.5,77.6,1.9
9,1990/10,22.1,11.9,16.4,4.1,23.9,68.6,1.7
10,1990/11,18.0,7.3,12.3,3.6,48.1,61.9,1.9
11,1990/12,10.8,-0.6,4.4,2.2,0.8,47.7,2.1
12,1991/1,6.9,-2.1,1.8,3.6,38.2,46.5,2.2
13,1991/2,7.5,-2.1,2.4,3.9,36.6,43.4,2.6
14,1991/3,12.5,2.8,7.3,5.3,108.6,60.5,2.4
15,1991/4,18.6,6.9,12.6,4.7,164.5,61.6,2.2
16,1991/5,22.4,12.4,17.1,4.9,84.8,67.8,2.2
17,1991/6,26.9,18.7,22.5,6.4,171.0,78.4,1.7
18,1991/7,28.4,22.3,24.9,7.4,449.6,83.9,1.9
19,1991/8,26.4,21.0,23.4,6.4,698.7,82.9,2.4
20,1991/9,26.1,18.1,21.7,5.9,169.1,80.4,1.7
21,1991/10,21.9,11.0,15.9,3.4,2.8,65.3,2.0
22,1991/11,15.7,3.4,9.0,2.4,12.4,60.0,1.5
23,1991/12,10.9,1.8,5.7,4.5,122.6,68.6,1.8
24,1992/1,8.9,-0.7,3.5,3.5,41.5,59.0,1.9
25,1992/2,9.9,-1.0,3.9,3.0,26.9,54.4,2.1
26,1992/3,12.8,4.7,8.4,6.9,96.1,72.0,2.0
27,1992/4,19.0,8.7,13.7,4.8,152.7,65.5,2.3
28,1992/5,22.3,11.6,16.8,5.2,86.3,69.9,2.0
29,1992/6,25.9,16.1,20.8,5.7,29.2,72.3,2.0
30,1992/7,31.3,22.6,26.6,5.7,103.5,76.4,1.9
31,1992/8,27.5,22.1,24.5,7.8,318.4,85.7,2.0
32,1992/9,26.1,18.5,22.0,5.9,168.0,79.9,1.7
33,1992/10,20.9,11.4,15.6,4.2,24.8,72.8,1.8
34,1992/11,15.7,3.9,9.0,2.9,53.6,66.8,1.7
35,1992/12,10.3,1.5,5.5,3.8,54.4,59.3,1.9
36,1993/1,7.0,-1.9,1.9,3.9,52.4,60.6,1.9
37,1993/2,10.4,-0.6,4.5,3.4,75.7,55.3,2.4
38,1993/3,12.6,1.9,6.9,4.5,55.4,65.0,2.1
39,1993/4,19.0,7.5,13.0,3.8,22.8,58.8,2.5
40,1993/5,22.4,12.0,16.9,5.6,119.9,66.9,1.7
41,1993/6,24.8,17.5,20.7,7.8,236.7,72.6,1.6
42,1993/7,24.8,19.0,21.6,8.1,327.2,78.1,1.6
43,1993/8,25.7,19.7,22.4,8.1,559.5,79.6,1.3
44,1993/9,25.6,16.5,20.7,5.8,30.1,69.7,1.6
45,1993/10,20.8,10.1,14.9,4.2,78.4,60.4,1.7
46,1993/11,15.3,6.3,10.2,4.9,69.9,65.0,1.9
47,1993/12,9.3,-1.3,3.4,2.9,21.4,51.4,2.0
48,1994/1,7.9,-2.5,2.0,3.7,28.2,50.8,1.8
49,1994/2,9.3,-0.9,3.6,3.9,44.9,50.5,2.3
50,1994/3,11.8,1.6,6.4,4.5,31.0,48.9,2.3
51,1994/4,20.3,9.1,14.3,5.2,83.6,58.5,2.0
52,1994/5,23.6,12.9,18.3,4.7,186.9,64.2,2.1
53,1994/6,26.1,16.6,21.0,6.4,122.1,72.1,1.8
54,1994/7,33.3,24.7,28.7,4.2,103.3,72.3,1.9
55,1994/8,32.7,24.4,28.1,3.6,61.2,72.4,2.1
56,1994/9,27.8,17.4,22.1,3.9,68.2,66.7,1.8
57,1994/10,22.2,11.2,16.1,4.3,142.7,66.6,1.9
58,1994/11,17.9,7.1,11.7,3.3,43.0,61.1,1.6
59,1994/12,10.8,0.5,5.1,3.3,6.3,49.4,2.1
60,1995/1,7.2,-2.9,1.4,2.3,29.6,42.7,2.6
61,1995/2,10.0,-0.2,4.1,3.4,19.1,51.3,2.0
62,1995/3,13.2,3.1,7.7,5.0,68.5,62.0,2.3
63,1995/4,19.3,7.3,13.2,4.1,64.8,51.7,2.2
64,1995/5,22.4,11.6,16.9,4.9,90.3,59.2,2.0
65,1995/6,23.8,16.2,19.7,7.2,115.1,71.9,1.8
66,1995/7,29.4,22.2,25.5,6.6,110.3,73.4,2.1
67,1995/8,32.9,24.4,28.1,4.7,99.9,71.3,2.0
68,1995/9,25.0,16.6,20.5,5.5,45.5,70.8,1.7
69,1995/10,22.4,11.3,16.3,4.0,47.6,69.4,1.7
70,1995/11,16.0,2.9,8.4,1.8,2.1,56.0,2.1
71,1995/12,9.2,-2.0,2.8,2.3,0.2,46.8,2.3
72,1996/1,7.6,-2.5,1.9,3.8,32.5,42.4,2.3
73,1996/2,8.4,-2.7,2.3,3.1,2.5,44.8,2.6
74,1996/3,11.9,2.4,6.9,5.3,160.1,52.5,2.4
75,1996/4,18.2,6.7,12.1,4.1,63.8,51.8,2.3
76,1996/5,23.9,12.8,18.1,4.6,42.0,63.7,1.7
77,1996/6,24.7,17.9,21.1,7.2,371.0,81.5,1.6
78,1996/7,28.6,21.2,24.6,5.9,116.8,78.8,1.9
79,1996/8,30.3,22.7,26.1,5.5,74.6,76.7,1.8
80,1996/9,26.6,17.4,21.6,4.3,26.8,73.3,1.6
81,1996/10,22.3,11.0,16.1,4.1,35.9,66.9,1.7
82,1996/11,14.8,5.6,9.8,5.0,61.7,59.5,1.9
83,1996/12,10.8,-1.3,3.9,2.0,27.3,53.6,1.6
84,1997/1,7.2,-3.4,1.4,2.5,10.9,45.0,2.3
85,1997/2,10.6,-1.3,4.3,3.1,4.4,51.8,2.2
86,1997/3,14.6,3.8,8.8,4.4,25.4,54.2,2.2
87,1997/4,19.6,8.4,13.7,4.6,57.0,57.9,2.1
88,1997/5,24.6,13.7,18.7,5.7,172.9,66.4,2.1
89,1997/6,28.1,17.8,22.7,4.7,282.1,70.6,1.9
90,1997/7,29.4,21.8,25.4,6.1,188.5,78.7,1.9
91,1997/8,30.1,22.7,26.0,5.4,192.3,78.5,1.9
92,1997/9,25.4,17.2,20.9,4.8,50.0,73.6,1.9
93,1997/10,22.1,10.8,15.9,1.9,0.7,59.2,1.8
94,1997/11,16.7,6.9,11.4,4.3,151.6,71.1,1.5
95,1997/12,9.5,0.9,4.8,3.7,62.8,58.1,1.8
96,1998/1,6.9,-1.6,2.4,4.1,119.6,54.9,2.4
97,1998/2,10.3,2.0,6.0,4.9,81.6,58.7,2.8
98,1998/3,14.3,4.8,9.2,4.6,51.6,53.0,2.9
99,1998/4,19.8,11.3,15.2,5.9,182.0,76.3,2.2
100,1998/5,23.7,14.1,19.0,5.5,166.5,70.2,2.0
101,1998/6,23.3,17.5,20.2,7.2,268.7,81.2,2.4
102,1998/7,27.5,22.4,24.8,8.2,194.5,84.1,2.6
103,1998/8,29.9,23.3,26.3,6.8,346.0,83.5,2.0
104,1998/9,27.2,19.5,23.2,5.1,259.6,79.5,2.2
105,1998/10,23.0,14.9,18.6,5.2,107.1,71.2,2.1
106,1998/11,16.1,5.5,10.3,2.7,18.5,59.3,2.0
107,1998/12,11.7,1.2,5.8,2.1,0.3,47.5,2.0
108,1999/1,8.0,-1.4,2.9,2.2,30.6,43.9,2.9
109,1999/2,9.3,0.0,4.6,2.6,29.0,43.3,2.8
