,년월,최고기온,최저기온,평균기온,평균운량,일강수량,상대습도,평균평속
0,1990/1,0.9,-7.3,-3.2,4.8,64.0,67.2,1.4
1,1990/2,6.2,-1.6,2.2,6.7,69.3,77.4,1.4
2,1990/3,11.6,2.1,6.5,4.6,82.7,72.6,1.8
3,1990/4,16.2,5.6,10.6,4.9,81.4,72.4,2.2
4,1990/5,20.7,11.7,16.0,6.6,113.8,78.9,2.0
5,1990/6,24.8,17.6,20.9,7.2,404.7,84.4,1.7
6,1990/7,28.8,22.4,25.2,7.7,268.4,87.7,1.5
7,1990/8,31.0,22.4,26.0,4.8,290.4,83.5,1.4
8,1990/9,26.1,16.6,21.0,6.0,582.7,78.5,1.2
9,1990/10,21.2,8.4,14.2,2.7,0.0,72.3,1.1
10,1990/11,14.9,4.4,9.3,4.4,59.4,77.1,1.2
11,1990/12,5.5,-3.6,0.5,4.2,26.8,73.2,1.7
12,1991/1,2.5,-7.6,-2.9,3.1,17.2,68.4,1.3
13,1991/2,3.4,-5.8,-1.3,4.3,42.1,62.7,1.7
14,1991/3,9.8,-0.1,4.3,5.6,51.7,66.4,1.8
15,1991/4,19.2,5.5,11.8,3.5,52.6,61.8,1.6
16,1991/5,22.7,11.6,16.8,4.7,123.0,63.5,1.9
17,1991/6,27.2,17.8,22.0,6.5,89.8,74.9,1.5
18,1991/7,27.8,21.2,24.1,7.7,567.6,85.5,1.6
19,1991/8,29.9,20.9,24.9,5.3,82.4,76.3,1.3
20,1991/9,25.2,16.2,20.2,5.5,185.2,79.2,1.1
21,1991/10,19.5,6.8,12.8,2.7,30.8,69.4,1.3
22,1991/11,11.5,0.1,5.4,3.4,25.2,67.5,1.2
23,1991/12,6.6,-2.6,1.7,5.1,52.8,73.1,1.3
24,1992/1,3.8,-4.7,-0.8,3.9,14.2,72.2,1.2
25,1992/2,5.3,-4.7,0.0,3.4,25.5,65.5,1.7
26,1992/3,12.0,2.2,6.6,5.6,11.6,64.0,1.6
27,1992/4,17.7,5.4,11.2,4.6,78.6,63.8,2.0
28,1992/5,21.5,10.7,15.7,5.0,122.0,69.5,1.8
29,1992/6,25.4,15.3,19.9,5.6,51.3,74.4,1.7
30,1992/7,28.7,21.6,24.5,7.6,169.2,85.0,1.7
31,1992/8,29.0,21.5,24.9,6.1,334.4,82.9,1.3
32,1992/9,25.2,16.3,20.5,5.2,168.6,80.1,1.4
33,1992/10,18.9,8.1,13.2,4.1,37.7,78.7,1.1
34,1992/11,11.6,0.6,5.6,4.1,62.8,69.5,1.4
35,1992/12,5.8,-3.0,1.2,4.5,53.5,67.5,1.5
36,1993/1,2.3,-7.0,-2.7,3.9,2.2,65.8,1.3
37,1993/2,5.6,-4.1,0.4,3.7,56.0,67.4,2.1
38,1993/3,10.4,-0.2,4.8,4.2,27.1,68.1,1.6
39,1993/4,15.6,4.9,10.0,4.7,63.5,69.1,2.2
40,1993/5,23.4,12.0,17.3,5.5,84.0,68.2,1.7
41,1993/6,25.5,17.0,20.6,7.3,151.9,79.6,1.6
42,1993/7,27.4,19.9,23.2,7.2,458.1,77.8,1.5
43,1993/8,27.0,19.6,22.8,7.3,132.9,80.2,1.4
44,1993/9,26.5,15.9,20.8,4.2,84.0,73.6,1.2
45,1993/10,19.0,6.5,12.6,2.9,21.8,70.0,1.3
46,1993/11,12.8,4.4,8.5,6.1,62.3,71.3,1.5
47,1993/12,4.6,-4.6,-0.1,4.0,19.1,65.9,1.5
48,1994/1,3.8,-5.8,-1.2,4.4,4.4,63.9,1.3
49,1994/2,6.3,-4.8,0.3,3.4,10.8,62.2,1.6
50,1994/3,9.0,-1.4,3.7,3.8,50.9,61.5,2.2
51,1994/4,21.3,7.4,14.2,4.3,25.3,56.4,1.7
52,1994/5,23.1,12.4,17.7,5.2,141.4,66.9,1.9
53,1994/6,27.6,17.3,22.3,5.3,94.0,69.3,1.5
54,1994/7,32.8,25.0,28.7,5.6,81.3,70.9,1.5
55,1994/8,31.5,23.7,27.6,5.7,327.2,72.4,1.5
56,1994/9,25.9,15.6,20.7,3.9,68.1,67.8,1.3
57,1994/10,20.7,9.7,14.8,4.4,191.0,70.1,1.2
58,1994/11,14.2,3.5,8.6,4.0,31.2,64.2,1.1
59,1994/12,5.9,-3.3,1.3,4.0,20.0,61.5,1.4
60,1995/1,2.5,-7.0,-2.4,2.8,13.4,56.7,1.5
61,1995/2,6.5,-5.7,0.0,2.3,11.2,63.3,1.3
62,1995/3,11.0,1.0,5.8,5.2,46.2,63.7,1.9
63,1995/4,17.0,4.7,10.7,3.8,33.7,55.1,2.0
64,1995/5,22.3,10.8,16.6,4.8,59.0,59.6,1.7
65,1995/6,26.5,17.3,21.5,6.1,67.7,66.5,1.5
66,1995/7,28.3,21.3,24.8,7.1,372.9,77.3,1.6
67,1995/8,30.0,23.2,26.4,6.6,967.9,79.4,1.5
68,1995/9,24.9,15.2,20.0,5.0,24.2,74.7,1.1
69,1995/10,21.0,9.5,15.1,4.0,29.2,74.8,0.9
70,1995/11,12.3,0.1,5.6,2.7,24.8,70.2,1.2
71,1995/12,3.7,-6.0,-1.6,2.8,3.1,69.3,1.2
72,1996/1,3.2,-6.9,-2.2,3.2,20.4,66.4,1.5
73,1996/2,3.8,-7.1,-2.0,3.0,4.1,62.5,1.7
74,1996/3,9.6,-0.3,4.5,5.4,100.8,70.5,1.8
75,1996/4,15.3,4.3,9.7,3.8,51.1,64.7,2.0
76,1996/5,24.0,11.9,17.6,4.2,26.5,69.8,1.5
77,1996/6,26.9,18.9,22.3,8.1,286.4,80.4,1.4
78,1996/7,29.7,21.5,25.1,7.1,241.1,79.8,1.5
79,1996/8,31.0,23.0,26.5,6.1,77.5,77.8,1.3
80,1996/9,27.9,16.8,21.7,3.8,9.2,74.0,1.1
81,1996/10,20.3,8.8,14.0,4.4,70.0,73.2,1.0
82,1996/11,10.9,1.9,6.4,4.6,49.0,70.8,1.7
83,1996/12,6.5,-3.8,1.1,3.2,16.0,62.4,1.5
84,1997/1,2.0,-8.1,-3.2,3.2,14.4,52.4,1.7
85,1997/2,6.5,-5.4,0.3,2.9,41.4,56.9,1.7
86,1997/3,11.9,0.9,5.9,3.9,30.4,61.6,1.9
87,1997/4,18.1,6.5,12.0,4.3,60.7,57.0,2.0
88,1997/5,21.6,12.5,16.9,6.4,260.3,68.5,1.8
89,1997/6,27.9,18.1,22.8,5.2,150.4,68.2,1.5
90,1997/7,29.8,22.5,25.9,6.2,331.7,80.4,1.7
91,1997/8,31.0,22.9,26.6,5.3,299.2,78.0,1.9
92,1997/9,25.5,15.4,20.2,4.2,25.0,68.5,1.6
93,1997/10,19.2,7.1,12.9,3.0,52.3,61.3,1.8
