,년월,최고기온,최저기온,평균기온,평균운량,일강수량,상대습도,평균평속
0,1990/1,4.0,-4.9,-0.9,5.3,50.7,67.2,1.4
1,1990/2,7.8,0.0,3.6,7.0,104.4,76.2,1.1
2,1990/3,13.2,2.8,7.4,4.6,84.0,69.4,1.6
3,1990/4,17.8,6.4,11.8,5.0,81.1,64.3,1.7
4,1990/5,22.7,12.6,17.3,6.2,76.4,69.9,1.6
5,1990/6,27.3,18.6,22.6,7.0,268.1,74.6,1.5
6,1990/7,31.3,23.5,26.8,6.6,241.0,78.3,1.3
7,1990/8,32.9,23.2,27.3,4.9,170.1,75.2,1.0
8,1990/9,27.5,18.0,22.1,5.6,177.9,75.0,1.2
9,1990/10,22.2,9.8,15.1,3.3,5.5,69.8,1.0
10,1990/11,16.8,5.8,10.6,3.8,62.9,73.7,1.1
11,1990/12,8.1,-1.3,2.7,4.9,31.4,70.4,1.3
12,1991/1,4.8,-4.0,-0.2,4.3,25.8,67.6,0.9
13,1991/2,4.9,-4.3,0.0,5.0,61.0,70.6,1.3
14,1991/3,11.6,1.2,5.8,5.1,97.1,70.6,1.3
15,1991/4,20.1,6.1,12.7,3.8,93.5,59.3,1.4
16,1991/5,24.2,12.1,17.9,4.3,60.0,61.0,1.6
17,1991/6,27.9,18.4,22.8,6.0,162.5,72.4,1.4
18,1991/7,29.2,22.3,25.4,7.4,368.8,78.1,1.5
19,1991/8,29.8,21.3,25.1,5.1,205.2,73.9,1.2
20,1991/9,26.4,17.3,21.4,5.2,148.5,73.8,1.0
21,1991/10,20.9,8.2,13.9,2.2,18.1,66.0,1.0
22,1991/11,13.4,1.8,7.0,3.4,28.8,65.1,1.2
23,1991/12,8.8,-0.9,3.5,5.3,47.3,69.9,1.3
24,1992/1,5.8,-2.4,1.2,4.8,14.6,70.5,1.2
25,1992/2,7.2,-2.9,1.6,2.9,34.2,65.8,1.5
26,1992/3,13.4,2.9,7.6,6.2,39.3,67.4,0.8
27,1992/4,19.2,6.3,12.5,4.0,106.4,62.8,1.6
28,1992/5,23.3,11.1,16.9,4.8,48.3,66.6,1.7
29,1992/6,26.9,16.0,21.3,5.3,35.2,69.2,1.5
30,1992/7,31.2,22.5,26.4,5.9,245.0,76.3,1.5
31,1992/8,30.4,22.0,25.8,6.3,220.6,77.1,1.0
32,1992/9,25.7,16.7,20.8,5.6,210.3,75.9,1.1
33,1992/10,20.1,8.9,14.1,4.1,35.4,74.3,1.0
34,1992/11,13.4,2.2,7.1,3.7,64.8,71.9,1.3
35,1992/12,7.9,-1.3,3.1,4.4,55.0,71.8,1.3
36,1993/1,3.6,-5.3,-1.2,4.8,25.6,69.3,1.1
37,1993/2,7.5,-2.6,1.9,4.3,66.8,65.5,1.5
38,1993/3,12.1,0.6,5.8,4.1,43.3,63.9,1.4
39,1993/4,18.4,5.7,11.7,4.1,29.5,59.0,1.7
40,1993/5,24.3,12.3,17.9,4.9,110.5,63.8,1.4
41,1993/6,26.7,17.7,21.8,6.8,321.4,75.3,1.5
42,1993/7,28.1,20.5,23.9,7.4,387.1,79.1,1.4
43,1993/8,27.3,19.9,23.2,7.0,292.3,80.5,1.2
44,1993/9,26.7,16.1,20.9,4.9,108.9,71.6,1.2
45,1993/10,20.1,7.7,13.3,3.6,45.7,69.3,1.2
46,1993/11,14.3,5.2,9.4,6.3,87.1,73.6,1.2
47,1993/12,6.6,-2.6,1.7,4.9,32.4,66.9,1.3
48,1994/1,4.9,-4.5,-0.3,4.2,35.3,67.6,0.9
49,1994/2,6.9,-3.2,1.2,4.1,21.6,67.6,1.2
50,1994/3,10.0,-0.4,4.4,4.0,45.5,61.7,1.7
51,1994/4,21.8,8.4,14.8,4.9,28.0,57.8,1.5
52,1994/5,24.3,12.9,18.6,4.7,102.1,64.0,1.8
53,1994/6,27.9,16.9,22.2,5.9,101.9,71.2,1.3
54,1994/7,34.8,25.0,29.4,4.2,57.7,71.9,1.4
55,1994/8,32.6,23.5,27.7,4.6,231.6,74.8,1.4
56,1994/9,27.4,15.6,21.0,3.4,19.3,68.4,1.3
57,1994/10,21.7,10.3,15.1,4.2,123.9,73.3,1.2
58,1994/11,16.2,4.8,9.9,3.7,27.7,68.4,1.2
59,1994/12,8.0,-1.4,3.0,4.8,25.9,68.7,1.3
60,1995/1,4.0,-4.7,-0.7,4.1,36.7,68.0,1.3
61,1995/2,7.5,-4.0,1.0,2.8,27.9,70.6,1.2
62,1995/3,12.7,2.0,6.8,5.0,33.6,64.3,1.7
63,1995/4,18.7,4.9,11.3,3.9,86.8,59.3,1.7
64,1995/5,23.5,11.2,17.2,4.4,64.8,63.7,1.6
65,1995/6,27.8,17.4,22.2,5.3,26.4,70.2,1.2
66,1995/7,29.9,22.5,25.9,6.9,163.7,79.7,1.5
67,1995/8,31.9,23.9,27.3,5.6,321.4,82.8,1.5
68,1995/9,25.7,15.4,20.1,5.4,63.6,79.5,0.9
69,1995/10,22.4,9.8,15.3,3.7,32.4,76.4,0.6
70,1995/11,13.9,1.6,6.8,2.9,21.0,73.0,1.3
71,1995/12,5.4,-4.1,0.1,4.0,12.8,75.1,1.0
72,1996/1,5.1,-4.8,-0.4,4.1,36.0,69.4,1.3
73,1996/2,5.7,-5.3,-0.5,4.2,5.0,63.8,1.4
74,1996/3,10.8,0.3,5.1,5.2,120.1,70.0,1.6
75,1996/4,16.7,3.7,9.9,3.6,40.1,62.3,1.6
76,1996/5,24.5,11.3,17.5,4.5,77.5,67.2,1.4
77,1996/6,26.5,18.7,22.2,7.7,401.7,83.7,1.3
78,1996/7,30.7,22.1,25.9,6.2,174.9,79.7,1.5
79,1996/8,31.4,23.0,26.7,5.4,119.9,82.0,1.1
80,1996/9,27.8,16.0,21.2,4.1,13.6,78.5,0.9
81,1996/10,21.2,9.4,14.6,4.0,103.3,80.7,0.8
82,1996/11,12.7,3.3,7.8,5.5,86.9,79.8,0.9
83,1996/12,7.9,-2.5,2.2,3.5,37.8,74.9,0.9
84,1997/1,3.7,-6.3,-1.6,3.6,29.4,74.5,1.0
85,1997/2,8.0,-3.9,1.5,3.2,64.6,70.6,1.2
86,1997/3,13.4,1.8,7.0,4.1,40.0,68.9,1.2
87,1997/4,19.4,6.6,12.5,3.9,64.0,67.9,1.1
88,1997/5,24.5,13.0,18.2,5.5,157.2,74.1,1.5
89,1997/6,29.0,17.9,23.1,5.0,210.0,78.0,1.1
90,1997/7,30.1,22.4,25.8,7.1,415.8,87.5,1.0
91,1997/8,31.3,22.5,26.4,4.6,332.4,77.9,1.1
